v8-version,7,0,276,38,-node.11,0
code-creation,Builtin,3,14176,0x17daf828ef20,104,CompileLazyDeoptimizedCode
code-creation,Builtin,3,14210,0x17daf8286de0,247,DeserializeLazy
code-creation,Builtin,3,14243,0x17daf828efe0,151,InstantiateAsmJs
code-creation,Builtin,3,14276,0x17daf828f0c0,35,NotifyDeoptimized
code-creation,Builtin,3,14310,0x17daf828f140,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,14343,0x17daf828f1c0,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,14377,0x17daf828f240,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,14410,0x17daf828f2c0,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,14444,0x17daf828f340,61,OnStackReplacement
code-creation,Builtin,3,14477,0x17daf828f3c0,15,HandleApiCall
code-creation,Builtin,3,14510,0x17daf828f420,15,HandleApiCallAsFunction
code-creation,Builtin,3,14544,0x17daf828f480,15,HandleApiCallAsConstructor
code-creation,Builtin,3,14594,0x17daf828f4e0,44,AllocateInNewSpace
code-creation,Builtin,3,14628,0x17daf828f560,64,AllocateInOldSpace
code-creation,Builtin,3,14662,0x17daf828f5e0,779,CopyFastSmiOrObjectElements
code-creation,Builtin,3,14696,0x17daf828f940,520,GrowFastDoubleElements
code-creation,Builtin,3,14730,0x17daf828fba0,480,GrowFastSmiOrObjectElements
code-creation,Builtin,3,14764,0x17daf828fdc0,343,NewArgumentsElements
code-creation,Builtin,3,14798,0x17daf828ff60,464,DebugBreakTrampoline
code-creation,Builtin,3,14832,0x17daf8290180,118,FrameDropperTrampoline
code-creation,Builtin,3,14865,0x17daf8290240,51,HandleDebuggerStatement
code-creation,Builtin,3,14898,0x17daf82902c0,402,ToObject
code-creation,Builtin,3,14931,0x17daf82904a0,151,ToBoolean
code-creation,Builtin,3,14964,0x17daf8290580,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,15000,0x17daf82906e0,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,15034,0x17daf8290840,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,15068,0x17daf8290980,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,15102,0x17daf8290ac0,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,15135,0x17daf8290c00,95,StringToNumber
code-creation,Builtin,3,15168,0x17daf8290ca0,103,ToName
code-creation,Builtin,3,15203,0x17daf8290d60,317,NonNumberToNumber
code-creation,Builtin,3,15236,0x17daf8290ee0,325,NonNumberToNumeric
code-creation,Builtin,3,15269,0x17daf8291080,269,ToNumber
code-creation,Builtin,3,15302,0x17daf82911e0,320,ToNumberConvertBigInt
code-creation,Builtin,3,15335,0x17daf8291360,357,ToNumeric
code-creation,Builtin,3,15368,0x17daf8291520,279,NumberToString
code-creation,Builtin,3,15421,0x17daf8291680,359,ToString
code-creation,Builtin,3,15461,0x17daf8291840,494,ToInteger
code-creation,Builtin,3,18723,0x17daf8291a80,510,ToInteger_TruncateMinusZero
code-creation,Builtin,3,18761,0x17daf8291cc0,546,ToLength
code-creation,Builtin,3,18794,0x17daf8291f40,156,Typeof
code-creation,Builtin,3,18827,0x17daf8292020,75,GetSuperConstructor
code-creation,Builtin,3,18860,0x17daf82920c0,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,18902,0x17daf82921c0,10768,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,18939,0x17daf8294c20,3015,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,18973,0x17daf8295840,40,KeyedLoadIC_Slow
code-creation,Builtin,3,19017,0x17daf82958c0,15040,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,19050,0x17daf82993c0,44,KeyedStoreIC_Slow
code-creation,Builtin,3,19083,0x17daf8299440,40,LoadGlobalIC_Slow
code-creation,Builtin,3,19117,0x17daf82994c0,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,19151,0x17daf8299560,40,LoadIC_Slow
code-creation,Builtin,3,19185,0x17daf82995e0,16,LoadIC_StringLength
code-creation,Builtin,3,19218,0x17daf8299640,20,LoadIC_StringWrapperLength
code-creation,Builtin,3,19252,0x17daf82996a0,3368,LoadIC_Uninitialized
code-creation,Builtin,3,19285,0x17daf829a420,44,StoreGlobalIC_Slow
code-creation,Builtin,3,19321,0x17daf829a4a0,6732,StoreIC_Uninitialized
code-creation,Builtin,3,19354,0x17daf829bf40,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,19390,0x17daf829bfc0,1028,EnqueueMicrotask
code-creation,Builtin,3,19438,0x17daf829c420,1532,RunMicrotasks
code-creation,Builtin,3,19473,0x17daf829ca60,2416,HasProperty
code-creation,Builtin,3,19507,0x17daf829d420,1052,DeleteProperty
code-creation,Builtin,3,19540,0x17daf829d880,40,Abort
code-creation,Builtin,3,19573,0x17daf829d900,40,AbortJS
code-creation,Builtin,3,19608,0x17daf829d980,15,EmptyFunction
code-creation,Builtin,3,19641,0x17daf829d9e0,15,Illegal
code-creation,Builtin,3,19674,0x17daf829da40,15,StrictPoisonPillThrower
code-creation,Builtin,3,19707,0x17daf829daa0,15,UnsupportedThrower
code-creation,Builtin,3,19740,0x17daf829db00,36,ArrayConstructor
code-creation,Builtin,3,19794,0x17daf829db80,467,ArrayConstructorImpl
code-creation,Builtin,3,19828,0x17daf829dda0,243,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,19864,0x17daf829dee0,243,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,19899,0x17daf829e020,207,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,19934,0x17daf829e140,207,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,19969,0x17daf829e260,207,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,20005,0x17daf829e380,207,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,20040,0x17daf829e4a0,219,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,20075,0x17daf829e5c0,219,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,20112,0x17daf829e6e0,571,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,20147,0x17daf829e960,535,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,20182,0x17daf829ebc0,499,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,20218,0x17daf829ee00,459,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,20254,0x17daf829f020,499,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,20289,0x17daf829f260,459,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,20326,0x17daf829f480,507,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,20361,0x17daf829f6c0,463,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,20397,0x17daf829f8e0,72,ArrayNArgumentsConstructor
code-creation,Builtin,3,20431,0x17daf829f980,9,InternalArrayConstructor
code-creation,Builtin,3,20464,0x17daf829f9e0,110,InternalArrayConstructorImpl
code-creation,Builtin,3,20509,0x17daf829faa0,199,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,20544,0x17daf829fbc0,199,InternalArrayNoArgumentConstructor_Holey
code-creation,Builtin,3,20580,0x17daf829fce0,503,InternalArraySingleArgumentConstructor_Packed
code-creation,Builtin,3,20616,0x17daf829ff20,459,InternalArraySingleArgumentConstructor_Holey
code-creation,Builtin,3,20650,0x17daf82a0140,15,ArrayConcat
code-creation,Builtin,3,20683,0x17daf82a01a0,15,ArrayPrototypeFill
code-creation,Builtin,3,20717,0x17daf82a0200,956,ArrayIncludesSmiOrObject
code-creation,Builtin,3,20750,0x17daf82a0600,120,ArrayIncludesPackedDoubles
code-creation,Builtin,3,20785,0x17daf82a06c0,176,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,20819,0x17daf82a07c0,880,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,20871,0x17daf82a0b80,104,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,20906,0x17daf82a0c40,104,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,20947,0x17daf82a0d00,15,ArrayPop
code-creation,Builtin,3,20980,0x17daf82a0d60,15,ArrayPush
code-creation,Builtin,3,21013,0x17daf82a0dc0,15,ArrayShift
code-creation,Builtin,3,21047,0x17daf82a0e20,15,ArraySplice
code-creation,Builtin,3,21080,0x17daf82a0e80,15,ArrayUnshift
code-creation,Builtin,3,21114,0x17daf82a0ee0,1372,CloneFastJSArray
code-creation,Builtin,3,21148,0x17daf82a1480,1394,ExtractFastJSArray
code-creation,Builtin,3,21182,0x17daf82a1a40,3056,ArrayEveryLoopContinuation
code-creation,Builtin,3,21216,0x17daf82a2680,134,ArrayEveryLoopEagerDeoptContinuation
code-creation,Builtin,3,21250,0x17daf82a2760,492,ArrayEveryLoopLazyDeoptContinuation
code-creation,Builtin,3,21288,0x17daf82a29a0,3044,ArraySomeLoopContinuation
code-creation,Builtin,3,21323,0x17daf82a35e0,134,ArraySomeLoopEagerDeoptContinuation
code-creation,Builtin,3,21357,0x17daf82a36c0,484,ArraySomeLoopLazyDeoptContinuation
