v8-version,7,0,276,38,-node.11,0
code-creation,Builtin,3,2909,0xa059bf0f560,64,AllocateInOldSpace
code-creation,Builtin,3,2916,0xa059bf0f5e0,779,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2926,0xa059bf0f940,520,GrowFastDoubleElements
code-creation,Builtin,3,2933,0xa059bf0fba0,480,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2942,0xa059bf0fdc0,343,NewArgumentsElements
code-creation,Builtin,3,2949,0xa059bf0ff60,464,DebugBreakTrampoline
code-creation,Builtin,3,2958,0xa059bf10180,118,FrameDropperTrampoline
code-creation,Builtin,3,2965,0xa059bf10240,51,HandleDebuggerStatement
code-creation,Builtin,3,2975,0xa059bf102c0,402,ToObject
code-creation,Builtin,3,2981,0xa059bf104a0,151,ToBoolean
code-creation,Builtin,3,2987,0xa059bf10580,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2996,0xa059bf106e0,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,3003,0xa059bf10840,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,3013,0xa059bf10980,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,3020,0xa059bf10ac0,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,3029,0xa059bf10c00,95,StringToNumber
code-creation,Builtin,3,3036,0xa059bf10ca0,103,ToName
code-creation,Builtin,3,3042,0xa059bf10d60,317,NonNumberToNumber
code-creation,Builtin,3,3051,0xa059bf10ee0,325,NonNumberToNumeric
code-creation,Builtin,3,3057,0xa059bf11080,269,ToNumber
code-creation,Builtin,3,3063,0xa059bf111e0,320,ToNumberConvertBigInt
code-creation,Builtin,3,3072,0xa059bf11360,357,ToNumeric
code-creation,Builtin,3,3078,0xa059bf11520,279,NumberToString
code-creation,Builtin,3,3085,0xa059bf11680,359,ToString
code-creation,Builtin,3,3093,0xa059bf11840,494,ToInteger
code-creation,Builtin,3,3099,0xa059bf11a80,510,ToInteger_TruncateMinusZero
code-creation,Builtin,3,3109,0xa059bf11cc0,546,ToLength
code-creation,Builtin,3,3116,0xa059bf11f40,156,Typeof
code-creation,Builtin,3,3122,0xa059bf12020,75,GetSuperConstructor
code-creation,Builtin,3,3130,0xa059bf120c0,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,3143,0xa059bf121c0,10768,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,3152,0xa059bf14c20,3015,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,3159,0xa059bf15840,40,KeyedLoadIC_Slow
