index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)
0	0	0		
5000	0.008	2.3106695164912305	0.48125	10.171622023398966
5625	0.008	2.2460553652650734	0.4375	10.002083116364645
5781	0	0		
5859	0.027	6.931786090219631	0.45925925925925926	17.41393016382788
5868	0.04	7.55586618560903	0.43875000000000003	22.137852883366836
5873	0.065	12.623074981063063	0.49256410256410266	28.757268721904786
5875	0.091	24.64922260143761	0.45109890109890105	31.277244714238073
5876	0.093	19.616942288223132	0.41989247311827954	29.23756799403083
5877	0.28	60.49998919640798	0.45357142857142846	58.208089266148605
5878	0.187	29.096906703175478	0.4479500891265597	47.27491480892327
5883	0.164	29.02192571094589	0.42774390243902416	39.94731314402913
5884	0.105	25.025025025038808	0.49000000000000016	35.14900726483118
5885	0.013	2.7929960253514783	0.46538461538461545	18.94199522536545
5888	0.045	11.423929323958413	0.4170370370370371	20.165044464017264
5898	0.103	27.072491194873056	0.5008090614886731	42.88950085745939
5917	0.07	14.548779980882724	0.44976190476190486	26.822866570344083
5927	0.018	3.894249491585801	0.5027777777777778	13.913821403259242
5932	0.052	10.262482731401077	0.4663461538461538	23.6819713513416
5933	0.025	6.073710551251035	0.48800000000000004	19.89949806137555
5934	0.16	32.3866971641504	0.5007589285714283	53.52827104787173
5937	0.187	42.77903598472945	0.5320855614973258	69.8502697382593
5939	0.179	27.478009916649512	0.4578212290502793	50.59722917067291
5940	0.243	51.36877708485863	0.43497942386831273	52.64781396029011
5941	0.106	25.960031347956388	0.4929245283018869	40.57421648487545
5943	0.052	11.247620695617663	0.48589743589743584	28.4735647054795
5946	0	0		
5948	0	0		
5949	0.116	21.075198488392182	0.389655172413793	34.85749904265312
5951	0.098	14.7202403304518	0.5020408163265307	34.65549390435778
5956	0.093	21.578226873012305	0.5000000000000001	44.36633963967838
5976	0.048	12.115399177167298	0.503125	33.54145577844217
6015	0.014	3.7036057247163288	0.5535714285714285	26.759840531208905
6093	0.074	14.27772096702676	0.48716216216216224	31.804501271458
6250	0.107	18.46578652170171	0.5126168224299066	44.066664467402504
6875	0.029	5.406816317401836	0.44137931034482764	19.65540389629331
7031	0.081	17.42047874055732	0.5030864197530865	32.10286788919684
7109	0.07	14.490653528467377	0.5135714285714286	29.90009093463322
7128	0.097	18.940873232830846	0.4649484536082474	36.19398948863507
7138	0.041	8.482992634277911	0.47682926829268285	28.106957029975714
7143	0.107	18.67658096384968	0.4341121495327103	35.62960432495277
7145	0.158	34.00116206503456	0.4632911392405064	42.47810178688173
7148	0.254	42.92280654318829	0.469553805774278	54.181876801356125
7187	0.267	40.44412802761153	0.4348314606741575	56.804718924400284
7226	0.162	31.417267861299504	0.45864197530864204	42.40045736936963
7265	0.078	15.581924967041353	0.4955128205128205	30.014728395668563
7343	0.095	19.525228650704403	0.5010526315789474	35.00938989890834
7500	0.167	34.04342065028524	0.5314371257485028	52.51053686145833
8750	0.122	19.912190504172422	0.5028688524590165	40.55127617805732
10000	0.065	10.336492589527833	0.4615384615384617	31.966718659742234
