index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	order_index (sequential)
7812	0.14	0.06711650706521147	0.6709247703565022	19.45748303879713	81	9.22118045431743	2013.642857142857	6.038649376956535	35	1	0.38937716785737864	0.800751934554168	98.42379953442573	81	14.954611762236048	1124.02	35.449699935382014	
7968	0.64	0.15791574898699498	0.630216482299437	62.352769069508184	81	9.144990360657692	2557.875	28.504516273115712	40	0.98	0.3430719078718873	0.7760094661835865	92.46693625551946	81	14.2305981493591	1220.5714285714287	29.70224682445912	
8125	0.32	0.096562874652638	0.5751963468756126	29.435418681845146	81	8.546195408502404	2884.375	20.673167868089273	34	0.99	0.3597782457721562	0.7852558401358128	109.9876719140078	81	14.312788930605887	1183.5353535353536	31.985023199334947	
8281	0.82	0.17962036141369203	0.6682798587226481	66.53139798577286	81	9.300272494572173	2467.7195121951218	36.88602142303838	38	0.97	0.27585602817940774	0.743492564466927	96.19287591676523	81	10.837335645081378	1433.4536082474226	33.6322182033133	
8437	0.85	0.20817526299883135	0.6541610330754049	57.00165415551484	81	9.06596323089806	2146.6941176470586	22.28640967197032	37	0.99	0.3308214296097193	0.7675024419582228	81.56089454385211	81	11.665878389656719	1212.1313131313132	31.105080123454584	
8593	0.83	0.21119404789015672	0.6731069845727835	62.39474404073189	81	9.261882324454444	2048.132530120482	24.51189599407026	39	1	0.31680829581531017	0.7373519401408838	86.6759409003532	81	10.38282769967768	1231.88	33.46747128077927	
8750	0.55	0.1821800727461579	0.5466639267902019	43.62691627726103	81	8.355169529504993	2631.927272727273	36.73857143618155	9	0.99	0.30029875175818915	0.7629715134291137	87.0481969550707	81	12.588906126141522	1073.8181818181818	29.23532813000434	
8906	0.91	0.18300443815928336	0.6467117424366952	65.73027515280221	81	9.175041446138762	2101.197802197802	31.68388443335965	48	0.98	0.2471302005461568	0.7319656990921337	89.98192524486852	81	11.439129587275117	1127.061224489796	36.08819386028049	
9062	0.86	0.1755195890065956	0.6155682027390544	58.407635448960356	81	9.074447866568486	2174.279069767442	34.318328510100834	47	1	0.2719984158812237	0.7093021021100541	99.54647979943476	81	13.982072089748149	1008.17	38.37567168501458	
9218	0.98	0.19427360701858956	0.6310166771648846	63.407120794397706	81	8.724903366884861	1927.5510204081634	33.87764900141363	49	1	0.5701667110446399	0.7060487135929084	90.99018048247481	81	13.08478261605143	484.87	36.02550183283286	
9375	0.57	0.17197464912645835	0.5712451287976865	36.40363410922111	81	8.712140661951416	2377.9298245614036	36.24545400518386	10	1	0.35256791074954785	0.6984971936210853	90.52289497254091	81	11.22020166542981	772.86	39.47700627722156	
9531	0.91	0.21345898796044468	0.6290619404654043	55.400750800790085	81	9.178386314690368	1943.8241758241759	25.164515297549716	41	1	0.3315234363862835	0.6731838968415039	91.2315388191843	81	12.540247945557814	811.11	35.20187887729669	
9687	0.54	0.14664425001106682	0.5585348894752743	42.51980625950782	81	8.442653926938265	2503.037037037037	31.09409440354774	11	1	0.39148611653210297	0.6609213021394451	86.2283389551101	81	12.248161214369645	679.9	38.142389088820714	
9843	0.52	0.14972400395386493	0.5533596009486182	37.22318936431614	81	8.25373614628069	2498.153846153846	36.20637117540219	12	1	0.35559942862283245	0.7399802525920662	95.05736872178801	81	12.457510909752344	725.11	33.31385454299744	
10000	0.93	0.23179713314302786	0.46692584024298456	60.36060131316467	81	7.63155702004247	2458.8602150537636	56.99464227510838	2	1	0.35625311498817325	0.7247906865316343	105.5535696986756	81	9.579594593277966	712.05	39.40437591144405	
10156	0.94	0.17656212873821	0.5800750037109147	53.67152053672783	81	9.128291284376072	1962.627659574468	30.99913711713133	61	0.99	0.3825995280499625	0.7204800572611214	108.42641796420635	81	10.995189117505687	644.6666666666666	37.28726921285154	
10312	0.94	0.21075694477764365	0.6064439333332778	68.36826626998585	81	8.816104644029737	1546.4787234042553	37.48671099075339	50	0.99	0.38292480285174213	0.7218361348178466	98.58670652669922	81	13.446454157205128	637.9494949494949	37.57402310167165	
10468	1	0.29280836307534697	0.622872208769589	79.57659116513543	81	8.463556541190073	1150.05	55.89113117217995	54	1	0.6073098239651964	0.7014643110160843	107.7422302346118	81	9.672738358966454	394.54	41.1120588483442	
10625	0.95	0.20769462680883025	0.5835571028873346	64.69609510027664	81	9.106994118531993	1850.378947368421	33.58527125644947	42	1	0.4170893171747293	0.7306885475933718	95.33913265312223	81	10.44008413782281	569.53	33.51905885614114	
10781	0.87	0.19394412804057548	0.5705095986992706	60.31252040123562	81	8.9596449038379	1936.183908045977	47.14777631854698	45	1	0.46650037483305606	0.7146037096377716	90.88791036861751	81	8.979188837608845	505.26	41.002462784520404	
