index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
2	0.99	445.1438848946028	0.2593939393939394
3	1	448.2696790350172	0.2874000000000001
4	0.998	442.3758865260097	0.33446893787575166
5	0.996	439.7350993463368	0.35441767068273117
6	0.992	436.73505327712707	0.4016129032258069
7	0.98	421.8682737778959	0.42846938775510257
8	0.986	426.544384849556	0.4514198782961466
9	0.974	397.42125019596546	0.46129363449692073
10	0.97	400.6277878766787	0.4678350515463926
11	0.97	396.24183006000794	0.48536082474226855
12	0.962	381.7460317432101	0.4952182952182957
13	0.952	388.001304204798	0.5023109243697481
14	0.942	389.7070991188681	0.511995753715499
15	0.92	368.1177976922857	0.5238043478260866
16	0.872	355.10669490338915	0.5431192660550452
17	0.876	348.4486873474146	0.545776255707762
18	0.806	345.21158129006574	0.5609181141439193
19	0.824	349.65628447776163	0.5633495145631059
20	0.828	331.571359925315	0.5682367149758445
21	0.746	327.13559024894164	0.6017426273458426
22	0.74	320.3463203466432	0.592837837837836
23	0.696	303.69142158917737	0.6150862068965502
24	0.688	296.5772911386683	0.6065406976744164
25	0.682	290.28688175625035	0.6035190615835757
26	0.658	286.56040414816533	0.6252279635258335
27	0.616	262.6641651052548	0.6232142857142836
28	0.54	251.3498417420494	0.6429629629629612
29	0.55	258.16748028957954	0.6318181818181798
30	0.502	232.04215586992237	0.6428286852589623
31	0.482	220.2119883037375	0.6456431535269694
32	0.452	207.79698418556688	0.6526548672566355
33	0.478	218.82439113441146	0.6445606694560654
34	0.342	174.383030800891	0.6763157894736824
35	0.376	172.8894611015519	0.6694148936170194
36	0.35	179.70835900465843	0.6731428571428553
37	0.314	164.19159171462329	0.676114649681527
38	0.296	153.9261570454991	0.6783783783783768
39	0.294	143.59675685959246	0.6829931972789097
40	0.252	133.72956909497222	0.6904761904761891
41	0.22	114.5117634787318	0.7009090909090898
42	0.204	106.52741514476881	0.7210784313725485
43	0.176	96.0908495286769	0.7039772727272726
44	0.17	92.12094938811293	0.7188235294117644
45	0.158	86.00043544481987	0.7392405063291134
46	0.122	69.09049722529795	0.7270491803278688
47	0.12	65.91957811375914	0.7200000000000002
48	0.1	55.64210994968293	0.7200000000000004
49	0.098	57.30323938618575	0.7377551020408166
50	0.082	45.09458864962998	0.7500000000000006
51	0.062	37.31343283599657	0.7677419354838715
52	0.066	37.402244134754675	0.757575757575758
53	0.1	49.554013874140495	0.7480000000000001
54	0.066	36.830357142531746	0.7560606060606064
55	0.05	27.523945832569808	0.7740000000000004
56	0.05	29.328953542820628	0.7680000000000003
57	0.03	16.9683257920295	0.7733333333333334
58	0.012	6.637168141522833	0.7999999999999999
59	0.02	11.954572623958816	0.7399999999999999
60	0.014	8.25569052960796	0.7714285714285715
61	0.06	31.344687075552894	0.7433333333333337
62	0.018	10.33057851246627	0.7555555555555554
63	0.012	7.405578869349411	0.7666666666666666
64	0.006	3.3351862145653732	0.8000000000000002
65	0.092	47.01553556862605	0.7206521739130437
66	0.034	18.920422926884996	0.7647058823529413
67	0.002	1.146000458435226	0.8
68	0.058	30.17062005764077	0.7620689655172417
69	0.002	1.0475591870970347	0.8
70	0.056	28.05330127250005	0.7482142857142859
71	0.006	3.215434083535488	0.8000000000000002
72	0.014	7.271971743203603	0.7999999999999999
73	0.058	30.795370074582383	0.7551724137931037
74	0.006	3.227194492243902	0.8000000000000002
75	0	0	
76	0	0	
80	0	0	
96	0	0	
128	0	0	
256	0	0	
