index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	order_index (sequential)
343	1	4.046780785883151	0.029781534470551138	38.6493179641328	162	129.51234647529068	16	1	3.6776604195473497	0.028213417120127437	43.73759365108379	162	126.63345646051883	
359	1	3.7518384008177303	0.027422168807799952	46.8547394870112	162	129.92236115427409	23	1	3.4260655063731105	0.0262673333668766	46.56137394659994	162	127.97991630958566	
375	1	3.749812509373811	0.026403474799337606	55.03179958101781	162	129.52886949952645	11	1	3.3452871594528624	0.026762753704929965	49.18499205902023	162	128.20293309959914	
390	1	3.3531841837003293	0.028417655162710997	46.13648395025698	162	129.57804467710994	34	1	3.202562049639115	0.027169792167729266	43.47987639890964	162	128.91746048334417	
406	1	3.3629497104506036	0.02642730291023295	48.506173550476596	162	129.24778180487675	21	1	3.07142286735758	0.027517158738563915	37.174416054960524	162	129.33046164772728	
421	1	2.846812992853877	0.028075276291904476	41.73005699045397	162	127.09577107877323	35	1	2.7803418708368484	0.025677646106952345	56.416088974410144	162	128.01230915294866	
437	1	3.2264517419616543	0.027010386412306697	52.21839439455358	162	131.4712536876177	14	1	2.703111822330162	0.026055726818351773	48.743330126069715	162	128.23795126022588	
452	1	2.8896890116693768	0.02684007428175363	61.51092672723063	162	129.60638865476184	36	1	2.6903127219506042	0.027454031224031925	41.131239773759	162	130.16438311062265	
468	1	2.8745709702834317	0.025992011055397248	55.782430446554606	162	128.98078078810903	17	1	2.527179818952998	0.025479391130407373	45.55556663471128	162	128.3940721600962	
484	1	2.7250926531483226	0.026211777785086668	43.30143831695859	162	128.9885520385882	24	1	2.462229400988134	0.026519597386053636	44.3676129884229	162	126.76472251024829	
500	1	2.913871777986392	0.024679688295804966	50.652025976589755	162	130.09986909491525	1	1	2.4829298572300975	0.02617938282570054	43.06221575586725	162	129.91893279854312	
