index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	order_index (sequential)
17	1	5.737168821948086	0.08121684631467263	65.73975108267642	17	124.43672711607823	68	1	5.114461651754987	0.08149802271375847	66.3726334613917	17	132.96559962532277	
18	1	5.557408024913296	0.08187315602564196	60.285474873370454	18	126.23219020893012	137	1	4.998650364395701	0.08064807861481843	53.88099018859483	18	131.6047764122172	
19	1	5.549389567141878	0.09280027604529387	59.82508270881655	19	129.3277790234563	34	1	5.210015734245293	0.08574156784229173	52.44402797396619	19	134.38317022469946	
20	1	5.4634061059072225	0.08477827058768357	65.66936138041955	20	130.24944372761811	138	1	5.211427618483425	0.08139184980916961	62.231300294351016	20	130.72314226180538	
21	1	5.50351674718589	0.08035925093875232	60.78257938908153	21	125.23134534282792	69	1	4.937296336536561	0.0760761223071769	70.96066939440664	21	130.87432425305363	
22	1	5.375881644574479	0.08253536721148974	54.672453690501534	22	127.60347877770761	139	1	4.945647335760463	0.07836464729397409	63.35282201062413	22	130.1009701353797	
23	1	5.176519308425006	0.07625970825724404	69.4470524858474	23	128.8571505207875	17	1	4.842146039124104	0.07860666945355071	68.92308528916547	23	129.70681071287626	
24	1	5.359344016296686	0.08064409437269442	61.429685638272275	24	124.10688279342035	140	1	4.8864869091138905	0.08053639884769098	56.34437912805967	24	131.1584053781752	
25	1	5.448581734168124	0.07811349554044092	74.5798479621157	25	124.42350433747119	70	1	4.742708086325666	0.07709327254433798	65.22641627312775	25	130.418063677262	
26	1	5.528160449314878	0.0856527172155732	60.62514588300341	26	127.93157399620586	141	1	4.787437763300965	0.07582074321797101	68.13299496891537	26	130.48399829796097	
27	1	5.400559497971703	0.08169988889496416	60.7595942797003	27	128.12678944815008	35	1	4.790465058350044	0.07645806954328575	58.36871667061873	27	129.03376555499034	
28	1	5.461914073170968	0.07923953754861528	60.159921640815135	28	125.28157960108405	142	1	5.017913952815383	0.07612754248164688	71.9777133883564	28	129.1705722079135	
29	1	5.574695342907267	0.0860321085203062	51.54958782966609	29	128.58514677734902	71	1	4.917049377019437	0.08043636150286389	53.69080690165707	29	131.61180928276463	
30	1	5.421582234542964	0.08805148767544464	51.7555658678679	30	131.6421865232058	143	1	4.991813425970298	0.07799699603235719	54.54801078218956	30	129.93466392378605	
31	1	5.254418966322005	0.0835632947911191	52.95379530392833	31	129.4536953185819	8	1	4.884052591486125	0.08147292835507837	53.49586800597177	31	132.1377317416696	
32	1	5.466990312459319	0.08579031112677614	67.75544238264578	32	130.13776116899896	144	1	4.8335798459068675	0.07636593509871326	56.36439354807434	32	130.21362372292188	
33	1	5.641239718860885	0.08792303799696376	70.98028766602997	33	132.26983774851627	72	1	4.950838176902528	0.07861859764561135	63.965431239881596	33	130.74116786245176	
34	1	5.423640564471196	0.08469240313119002	56.862252506123376	34	128.57148324225543	145	1	5.065804804409229	0.07917299179699051	56.20593040629604	34	131.9888719091753	
35	1	5.5639014076676325	0.0897710002713545	61.59899023354425	35	130.28132771934332	36	1	4.744688321421817	0.07999379991639351	55.80482768851369	35	130.05331873714277	
36	1	5.437383096276867	0.08274706827132518	85.54498696566212	36	124.7669568465712	146	1	5.085280148078637	0.07733629434317002	56.63712650729528	36	129.89002195835548	
