index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	address (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	address (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
61250	0.0035	0.012901777477883118	0.9538764140079931	128.86115215667442	112	101.6798448214756	123.42857142857143	5.089181251238997	130.45509282488712	4	0.002	0.00731087675689507	0.9479490715205001	80.06144626029703	112	101.95414498807335	135	4.743416490252569	131.20841683366734	
61875	0.003	0.010995656715597376	0.9503392338807246	70.55571156539384	112	100.44747363638965	97.5	3.9417836235320576	131.85255767301905	5	0.0015	0.00548354543382431	0.9127272727272727	204.9406418131881	112	101.88175154320989	84	2.857738033247041	130.54932398597896	
62031	0.001	0.0032111877782193257	0.9629545454545454	230.46241783577466	112	104.64798177083333	108	1.0606601717798214	132.73573573573574	23	0.003	0.011428456055586388	0.942552806556177	89.27845610469468	112	98.83739810928125	105	10.421098348069737	125.22066198595788	
62187	0.0005	0.0018194435195606504	0.9777777777777777		112	112.35532407407408	81		128.06353176588294	17	0.0015	0.005497416305959819	0.9638657733395922	49.754832373803886	112	102.28236210484475	135	2.3866718525271904	131.15423134702053	
62500	0.001	0.004003307532683515	0.9535714285714285	188.79751057613944	112	100.97117159942681	144	5.656854249492381	119.23673673673673	3	0.0015	0.0058239817981155535	0.962476881490966	49.02922304955762	112	99.46473782655424	108	4.898979485566357	122.85678517776665	
63125	0.0015	0.004026864015218312	0.948438099623916	31.4702425808149	112	103.54377226874546	147	2.8798627869827436	130.42163244867302	8	0.0015	0.006092136250221122	0.9407407407407407	29.559931798679003	112	96.96039240787506	99	7.7781745930520225	117.83174762143214	
63437	0.0025	0.006895144163674165	0.8898803697623177	20.6060355915913	112	99.64241278108466	100.8	2.4858218650634614	126.9062656641604	9	0.0095	0.03938405820383382	0.9420588508133496	94.46892641251101	112	99.28345101350446	107.05263157894737	10.400453117674507	115.26956082786471	
63515	0.004	0.0144332009808803	0.9532043284511291	53.156914407394694	112	98.47271530116176	129.375	6.1480841246770845	118.35843373493977	24	0.009	0.03590609120905164	0.9345185950814557	112.2918611334658	112	98.40328521731985	116.5	10.11875948418737	118.2598385469223	
63593	0.007	0.02609963835222555	0.9305319277389412	79.17474829542302	112	101.2504852002077	104.78571428571429	6.554688128767839	128.40936555891238	12	0.006	0.021796092469195824	0.9465352470072371	98.34378157390108	112	102.03530870223108	153.75	5.139408416963293	131.25150905432596	
63632	0.004	0.013894955870488635	0.9468285736193979	113.96277443252379	112	99.3853955858791	109.125	5.988483294770773	129.47138554216866	21	0.02	0.070974524581583	0.9548908696876787	193.86648716252853	112	98.80483341030371	143.55	10.699743553737308	133.23877551020408	
63671	0.0195	0.07003870087189228	0.9617853531278919	289.69040184704147	112	96.80692972891372	142.6153846153846	13.861577671721673	131.9964303926568	16	0.0195	0.07090631911661682	0.9553527775997269	205.4064424038932	112	98.29993554081074	148.15384615384616	12.230964061015897	130.91534931157574	
63750	0.0155	0.06123551138170615	0.9474366175368572	180.11993081452667	112	98.03100404566355	145.74193548387098	11.531447654597809	121.4002031488065	6	0.019	0.07456047580571391	0.9488153827406404	176.57333964326781	112	98.56326467330291	114.39473684210526	12.480996385570007	122.0158002038736	
63828	0.0195	0.07077519710438707	0.9442896283583857	174.03515687023528	112	99.48033071145834	109.61538461538461	14.479102359947102	125.96634370219276	19	0.015	0.058474653576660575	0.9447124609645634	131.50436127104678	112	98.57113960976388	144.6	9.53895272892736	122.21319796954315	
63867	0.006	0.020616746536515452	0.9505165006504338	64.35215305034937	112	101.28508682233725	114.75	6.924343038023658	125.35010060362173	22	0.005	0.0179673468625061	0.9455488980255836	111.55019968044432	112	99.59697203386168	123.3	7.23917728018168	129.91005025125628	
