index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)
77	0.94725	398.92188964114087	0.29362628661916057	194.47796622594643	77	27.96312743302982	233
78	0.947	393.0683822766041	0.29720168954593434	189.32047103128627	78	28.788055877524428	235
79	0.931	375.2216669353345	0.29479502327246654	191.2474754931788	79	29.890932881170563	208
80	0.956	402.7467666512078	0.2931267433751742	194.56467743936952	80	29.541316595569658	236
81	0.923	371.15972333920683	0.2966549295774643	186.93701996740853	81	30.23550834504222	217
82	0.901	347.64155493397965	0.29955142434332177	184.21401365087763	82	30.8886328300483	218
83	0.9515	407.5993831391018	0.29462690488702026	192.82625098782574	83	28.83369603944195	213
84	0.93325	376.07164804614206	0.2977810518796318	187.84655748669078	84	30.561755008120144	238
85	0.94575	397.12783044119294	0.29286721297030527	193.71299878942364	85	28.87915412082011	214
86	0.94425	396.18604065705256	0.29393257435354325	195.9217925357567	86	29.141745163985966	215
87	0.88825	337.000853646977	0.2895252837977291	193.35554486639728	87	30.92898368864591	209
88	0.9445	397.38721587028914	0.2979221810481737	188.1028900838212	88	28.22691988361896	212
89	0.96325	414.78722373534157	0.29585604291028644	191.94670023551583	89	28.770445310472365	211
90	0.91275	356.518597361502	0.29853921300100406	185.02501021547687	90	31.000586115818724	219
91	0.945	394.09894177141746	0.29676366843033497	192.80089221081369	91	29.250126451188102	210
92	0.9415	372.1343873517615	0.29852186227650895	187.92346653574432	92	30.602251867725478	224
93	0.914	356.5264030425343	0.2985867979576948	186.51759029835358	93	30.473472313633994	222
94	0.93075	362.29345477899733	0.2995030889067954	185.78050367434787	94	31.105837149000575	223
95	0.9625	419.02025445951534	0.2930649350649349	195.97894894677435	95	28.888375456574668	113
96	0.93425	379.7609853258303	0.30276068147355273	185.55566668301176	96	30.728060714644094	160
97	0.94775	389.02001026170984	0.299665875318737	186.39435123053158	97	30.17352192418447	158
98	0.97775	427.03499481358284	0.2877780618767575	204.8411005205153	98	28.149277961332366	169
99	0.94175	385.4615408229248	0.29896911777718777	188.61699003461896	99	30.446292259811077	156
100	0.92925	379.14643600305226	0.2993318984844405	187.1306342858589	100	30.066873258984632	163
101	0.928	377.1552819012256	0.3001616379310342	187.13324325291865	101	30.278038225346194	162
102	0.95025	391.7102930871449	0.2926335174953957	195.51115046292182	102	30.395215880004177	189
103	0.932	379.9042087027322	0.30197156652360496	183.4896227832239	103	29.77058033868137	155
104	0.94475	391.2251278547925	0.29982799682455663	187.35403762140618	104	30.12950535206311	161
105	0.94475	371.8609777217588	0.29408573696745155	192.18035042829874	105	30.96048792118727	159
106	0.945	389.77510595072977	0.2937301587301586	192.4488168753223	106	29.505414083167988	191
107	0.9475	396.2487061799794	0.30142919964819687	185.27885444481322	107	29.93756194343668	157
108	0.95975	411.6934229857836	0.3152079534601026	179.28853881011716	108	27.81775919225381	176
109	0.94275	389.0757516353562	0.30299213294440025	183.43100759807774	109	29.865537365751774	164
110	0.95425	390.55785208524054	0.3052353506243996	183.95796405227316	110	29.844434591547678	165
111	0.956	398.5492141576378	0.30140341701534173	188.2471955821375	111	29.46077382022531	114
112	0.948	377.62154195460164	0.29798699015471164	190.28501348945568	112	31.010943457580645	199
113	0.96225	406.44997782428925	0.3058240235559019	183.43993616316754	113	29.736873366052862	197
114	0.94875	391.92803808777614	0.3007773386034252	188.295787913135	114	30.10189347620223	198
115	0.944	391.22236266812035	0.29167549435028234	196.38757431696615	115	28.896520392638813	194
