index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
0	0	0			192				61	0	0	0			192				61	
2000	0	0			192				61.019	6	0	0			192				61.031	
3000	0	0			192				61.016	8	0	0			192				61.026	
3500	0	0			192				61.053	10	0	0			192				61.049	
3750	0	0			192				61.06	12	0	0			192				61.04	
3812	0	0			192				61.018	30	0	0			192				61.106	
3827	0	0			192				61.027	76	0	0			192				61.031	
3843	0.134	8.142679184517448	0.13578975660378526	76.78076588714983	192	43.72928649852313	70.97014925373135	50.09019859389988	61.91224018475751	44	0.081	4.864923302382201	0.14131148085037853	52.623500305365965	192	43.48141799768263	76.23456790123457	37.70381983484206	61.98803046789989	
3875	0.124	7.464528440455431	0.12855352684887547	72.40285736030044	192	42.138335561831326	70.56451612903226	52.141689337685165	61.81849315068493	22	0.128	7.674551068742051	0.12599328695729936	78.26814913842831	192	43.08428490720258	71.515625	48.32751942591997	61.727064220183486	
4000	0.126	7.286480109644531	0.1300941980230988	47.73988214157776	192	43.25705524068938	72.10317460317461	48.94869475882377	62.244851258581235	2	0.111	6.488571929619454	0.12119161196682743	48.2769628480889	192	43.61486383544586	73.33333333333333	46.19818303446551	62.097862767154105	
4031	0.131	7.700854148173955	0.15006197334883528	72.11713343016821	192	43.44463053006184	71.29770992366412	57.59581659683796	61.96892980437284	37	0.169	9.584084748260606	0.15398943633274373	68.25965593320106	192	43.38515619182331	70.26627218934911	67.97700085369814	62.50661853188929	
4046	0.268	15.013585053639563	0.17313822584278402	83.51875364458654	192	43.67926630811793	70.23507462686567	91.28682552833278	62.673497267759565	56	0.184	10.425519859481298	0.174332244494837	81.28590442972268	192	43.35564356717343	68.9945652173913	90.11452970419234	62.677696078431374	
4062	0.316	17.974051385311185	0.19322035217491115	91.33093713236204	192	44.41866449890933	67.99683544303798	145.17105964725394	62.67836257309941	11	0.279	15.711671124877222	0.18450903536722252	83.07889821506092	192	43.91561379257588	69.52688172043011	125.4050476252853	62.64216366158114	
4077	0.375	21.337855061906644	0.20311094082713843	82.58406458095693	192	44.17499748895914	66.33866666666667	218.04050245935537	63.5856	48	0.276	15.817253414177241	0.20030117763872213	67.58124268950567	192	43.75482712983904	67.28623188405797	177.49100193130582	63.42265193370166	
4093	0.547	30.585827634600854	0.19158284746693865	92.6162329107881	192	42.87498809650763	65.75502742230347	339.8947912173392	63.52538631346578	24	0.484	27.126547586353354	0.20450883739179818	77.91146351848799	192	43.085821446749044	66.09917355371901	360.30811430626096	63.94186046511628	
4109	0.705	39.13905189116325	0.18944993864206133	95.42728800037484	192	42.22328478928764	64.84964539007092	515.806429405095	63.17627118644068	59	0.695	40.143708701077095	0.19657790458552435	92.82333298665957	192	43.431945712436864	64.97697841726618	462.1776180353873	63.75737704918033	
4125	0.716	38.255220020941834	0.19309988654202004	111.69854346573754	192	46.89138690053136	64.87709497206704	556.6158226418548	63.79225352112676	9	0.631	33.733934948570116	0.1742492445324626	106.48234824108997	192	45.85923176782509	65.83359746434232	456.6396238339298	63.823848238482384	
4187	0.686	29.656144355390534	0.15894200941804218	141.50842420344193	192	74.83473747820014	64.35131195335276	396.2021990201188	63.67515923566879	28	0.881	38.70894040316879	0.1602646973288709	158.89255866687506	192	71.5190521959315	63.38138479001135	796.8063647491015	62.621848739495796	
4218	0.762	31.199331793838628	0.16372368508137744	149.08956560632234	192	81.8023093927487	63.479002624671914	638.2738149590377	64.02941176470588	38	0.905	38.20451446494488	0.15185840498773526	150.45095495632907	192	78.52885093581766	62.69944751381215	964.1166598570151	63.51578947368421	
4234	0.849	34.19526341227711	0.1539366975945779	153.140494381684	192	87.35997347383035	62.98351001177856	736.3034193071182	63.4635761589404	87	0.842	33.88725444820636	0.15005386251906877	173.7670167373116	192	84.46416167907869	62.842042755344416	763.4634696603589	63.765822784810126	
4250	0.872	34.11006755514528	0.16157266122691152	176.97607631960463	192	89.30000565700269	62.696100917431195	840.5788271392082	63.953125	7	0.79	30.83468316387156	0.15206276286854212	172.05477079551596	192	89.62464494877557	63.33164556962026	627.898288381578	63.52857142857143	
4281	0.936	36.44277977425907	0.16583118549500786	151.1179998765443	192	98.58023844248866	61.91880341880342	1238.300556666668	64.390625	91	0.975	37.357610032531056	0.1568874686762262	198.0675750772195	192	95.42917411327346	61.89948717948718	1424.955584081782	62.76	
4296	0.898	33.31911025360427	0.16780430011957528	187.75698076063165	192	102.33595295827087	62.07683741648107	954.9966372716909	64.30392156862744	92	0.975	36.31149677851534	0.15905792188023843	206.99716763835795	192	99.43234833092687	61.77948717948718	1614.209711740546	63.2	
4312	0.817	30.676919841998416	0.16580409407703445	174.81769529185345	192	98.31615067384323	62.76621787025704	612.2352960178546	64.1256830601093	42	0.895	33.95695244888628	0.15588143169776508	180.51307488777707	192	102.75925795259705	61.9340782122905	939.7946539401413	63.61904761904762	
4375	0.796	27.906422333551728	0.1575540325477932	74.60220621925461	192	118.11547941998089	62.314070351758794	730.1464950861648	64.4656862745098	25	0.996	33.55693392046379	0.12798591392421882	160.07113572488723	192	121.05302502869955	61.55020080321285	2759.6491058816114	61.5	
4406	0.87	30.78719677265273	0.15241058882827765	87.59228270249217	192	117.05766987620865	62.03333333333333	797.4164875273525	64.1923076923077	52	0.859	28.818733854463268	0.14714491576885458	92.08694512821657	192	119.85533829225267	61.85797438882422	976.7317719592029	63.829787234042556	
4437	0.892	31.953574179220364	0.16014209809817428	87.46772669719775	192	121.45036835868328	61.79596412556054	1018.7838201053331	64.12962962962963	26	0.936	31.739249855035776	0.14550273756402252	97.93261700811215	192	119.06042993902874	61.585470085470085	1585.4068879430931	64.109375	
4468	0.971	34.00872108295564	0.14615350887850906	105.42085057202486	192	121.53546891067144	61.60453141091658	1904.828749273818	63.10344827586207	65	1	33.78583832800569	0.1495010645140303	91.83633839084176	192	120.29998612920707	61.493	2955.7923950966056		
4500	0.97	33.07915808427376	0.1539958689179668	70.01756724486222	192	119.21417772736093	61.564948453608245	1565.3553577691414	64.7	5	0.886	30.319207183531507	0.1453461950255186	96.37151698599735	192	118.80535571783552	61.706546275395034	1094.9022036459576	63.46491228070175	
4531	0.904	32.01734036487155	0.14823702678170436	87.60355180040378	192	117.83397454119338	61.650442477876105	1409.6967996228898	63.802083333333336	82	0.998	33.75967038654442	0.15234238893519803	91.04484097555674	192	120.7860665008607	61.478957915831664	2806.312374683479	61	
4562	0.87	30.108911199477117	0.14044445538314979	99.18018522806713	192	119.03146809597939	61.749425287356324	1023.0051631559784	64.27692307692308	80	0.943	32.67758691787613	0.13869018344709025	113.77620217427726	192	120.70137469863042	61.608695652173914	1614.2075729015717	64.6842105263158	
4625	0.842	29.113289421366133	0.14336317828067377	105.4756648854785	192	120.54852847036568	62.07719714964371	763.1431242716153	64.36708860759494	78	0.995	33.72412647733907	0.14315712627059574	104.67808027945084	192	119.73074390100129	61.462311557788944	2443.0835595567496	61.6	
4687	0.796	27.37888455122494	0.14331664438498073	97.82642488120938	192	118.14374823140865	62.278894472361806	628.6937622593028	64.57352941176471	79	0.963	33.51197104676951	0.1651223939941869	90.90782847597247	192	119.5481657996666	61.503634475597096	1528.315781257626	64.37837837837837	
4694	0.993	33.68922453715665	0.14503381573526927	92.78294722234389	192	120.45616170778104	61.53474320241692	2777.380681135381	61.285714285714285	98	0.97	32.64026058368872	0.13241178554575594	141.99718755808934	192	121.35537553884603	61.61030927835051	1371.5362571968226	63.6	
4702	0.999	34.65765590741496	0.1437584222207287	94.87723442088785	192	118.31304852012664	61.414414414414416	3219.4918468442584	61	97	0.998	33.73547735024431	0.1433989134613387	109.07957390772971	192	119.49812967949325	61.48496993987976	2705.7599133177487	61.5	
4718	0.9	31.376048918747205	0.1542648863802181	90.37451098135278	192	116.06144320560917	61.84222222222222	952.9624862713141	64.59	81	0.965	32.76973909854415	0.15074784189908486	102.82562400428338	192	117.31194328040031	61.59585492227979	1252.8139449226278	63.65714285714286	
4750	0.986	34.11032927192151	0.18804844348306174	81.82983706947698	192	119.79710635106586	61.554766734279916	1707.0528255556785	62.142857142857146	39	0.844	28.024039578973596	0.1446128009266625	96.94965678642797	192	119.57188323365568	62.03791469194313	788.3509670415293	64.8076923076923	
5000	0.993	34.64444956144763	0.14542199736161915	105.26493563776553	192	120.10688289207916	61.398791540785496	3157.578662287417	66	4	0.996	33.52982167925483	0.12937793580708837	150.97239277391515	192	122.06058524803655	61.5	3040.679771403464	61.5	
5062	0.996	34.55058226056462	0.13747651189664	109.85359242822568	192	119.83482952279212	61.57730923694779	1443.714247272245	62.25	41	0.996	33.65820030008558	0.13484905854436785	128.24564692074352	192	120.00846030765562	61.519076305220885	2724.8531700396975	61.5	
5093	0.975	33.562129525723435	0.1521928333139331	101.41568345994548	192	119.04956774020567	61.4974358974359	1864.790618830083	64.6	49	0.998	33.60167537010673	0.1317545981472979	139.00760373898427	192	121.28560408323753	61.52805611222445	2746.8970692620487	61	
5125	0.889	31.42642011008054	0.16639037058165443	78.49485158945078	192	115.67214230880343	62.01124859392576	788.9233596560193	63.927927927927925	40	0.893	29.887211754074304	0.13969864240018692	104.14659650602097	192	119.19286821482311	61.83426651735722	978.4828987120212	64.30841121495327	
5156	0.966	33.84960403672462	0.15178597496831767	85.02518681593621	192	116.99588577679246	61.65113871635611	1208.018841083758	64.05882352941177	88	0.996	33.38517644535219	0.12965996963182716	140.6406750511028	192	120.38396408368398	61.48995983935743	2900.656374612713	62.75	
5187	0.945	32.74870824539609	0.1680974962214369	72.13664928141877	192	115.60404610911688	61.64973544973545	1132.0080117395732	63.836363636363636	47	0.987	33.40655472481097	0.14718262445152983	100.19162914192827	192	118.88243763061216	61.57548125633232	1563.9031543680178	63.07692307692308	
5250	0.947	32.78143746776318	0.1495742527012468	79.80646875647786	192	117.95253117949767	61.7909186906019	1120.6843058077402	64	21	0.807	27.02711754284368	0.13816676550395823	102.90676034595533	192	119.8401855152169	61.8909541511772	954.6600896840836	63.77720207253886	
5312	0.927	32.23058602646055	0.15362612399193046	86.93571666934643	192	117.76958551792565	61.78856526429342	1131.59548362891	64.32876712328768	62	0.988	33.18465176268396	0.1296410637367788	158.23124003420534	192	121.69109171754175	61.51720647773279	2564.16270798001	63.916666666666664	
5343	0.982	34.709581187547926	0.16536385691171157	87.54179424976817	192	118.42811837429838	61.61201629327902	1284.77251244017	63.611111111111114	72	0.997	33.62415813134954	0.1461852503855145	99.10949279738934	192	119.31827934059648	61.50952858575727	2971.158389209753	62.666666666666664	
5375	0.999	35.045253630812844	0.15087118264651408	109.15236619095359	192	119.07440683096985	61.43843843843844	3112.970578805377	61	60	0.893	30.07918944499852	0.14594835846888402	94.8314243194949	192	118.77617419320313	61.799552071668536	940.2705752410709	63.925233644859816	
5437	0.989	34.14477522794732	0.16493485688671752	94.23897003259697	192	119.28541427392248	61.49544994944388	1903.1101706719037	63.09090909090909	61	0.925	30.893266269896163	0.13083935731833546	142.45880475112153	192	120.80804289041207	61.91891891891892	964.474403521409	64.24	
5468	0.92	32.86582882619021	0.15469731673661005	99.10388037115204	192	118.6237786513241	61.552173913043475	1452.0955005118972	65.0625	83	1	33.712031824157506	0.1347738076876253	117.90973907786501	192	119.68032011184327	61.42	3116.616862850264		
5500	0.926	32.09527374565018	0.18573945340273404	76.48389743694644	192	117.48577375384544	61.51619870410367	1650.035781396339	63.986486486486484	13	0.972	32.63672504566414	0.13719680015939995	114.79518162641935	192	120.58680281386765	61.58539094650206	1515.0445185319109	64.14285714285714	
5750	0.918	31.87942769829117	0.16150300270169085	77.96012973687651	192	115.83487624318889	61.85947712418301	1062.3966175465916	63.53658536585366	46	0.968	32.79432739443933	0.13735742547758692	113.97235031531437	192	120.9643589707862	61.58471074380165	1480.0239754113336	63.3125	
5781	0.962	33.0065841616439	0.15954411726159526	80.78915639439333	192	116.30131805420672	61.682952182952185	1393.199189774415	63.421052631578945	69	0.996	34.703107252113085	0.13426992070925187	124.7938697316105	192	121.25742881977263	61.44879518072289	3040.444116456705	62.25	
5812	0.994	34.54999843586621	0.15755647411952017	96.63732745901478	192	118.6606473887174	61.45070422535211	2438.7070529131624	63	54	0.999	33.5638115588508	0.1308623599298714	125.61208038268337	192	121.41790987880741	61.550550550550554	2872.8351345331266	61	
5875	0.993	35.144968571266894	0.15302116215926118	88.27439591210002	192	116.44433259219328	61.472306143001006	3122.1265253163024	63	53	0.897	30.32751689651543	0.13120803472124254	123.51134947330128	192	119.31996413815763	61.869565217391305	992.4895291211445	64.22330097087378	
5937	0.984	34.50887972392879	0.1509660089226547	95.99346701136204	192	118.35427373791919	61.58536585365854	1766.215390553168	63.125	55	0.993	34.36354764697955	0.14630874525310023	101.36781303350016	192	120.41663230458744	61.58006042296073	1998.964296574902	61.42857142857143	
6000	0.941	32.672249767370936	0.1234916848096153	135.47635894292594	192	119.75903900898936	61.678002125398514	1245.9069570095855	64.13559322033899	3	0.991	33.40231760177731	0.14762739644206835	101.7070121167698	192	119.0265335475768	61.46922300706357	2415.2972846179705	65	
