index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
3	0	0	
4	0	0	
5	0.016	5.468963631387543	0.4541170634920635
9	0.022	5.309649080464244	0.31671964399237124
11	0.024	4.776309504856645	0.3414224664224664
12	0.014	2.5478634345197264	0.44220957613814754
13	0.032	5.397928544925593	0.3730720413165266
14	0.03	4.882017900729066	0.32127192982456143
15	0.01	1.5242508307173843	0.4944272445820433
17	0.008	1.0725873488324917	0.2733918128654971
18	0.04	5.0263885398349375	0.2631046365914787
19	0.032	3.8823643598938493	0.2920720361509835
21	0.032	3.6401692678699247	0.25199245953322036
25	0.036	3.407735559720337	0.23665007477268013
33	0.014	1.0663904207670762	0.1877005347593583
65	0.01	0.3958671469854935	0.382669684147716
129	0.008	0.14547570555717626	0.29204211818715636
193	0.004	0.044044714193849345	0.25922548242135873
257	0	0	
