index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
15	1	20.52334530528501	0.17269752412903266	37.81712632819014	241	124.86003587165844	102.23	438.91067252903326		93	1	20.664145640898276	0.16911201106711723	104.89881646806927	241	126.68745852876988	102	1558.155227917204		
16	1	21.52296500365932	0.19895028068681303	35.43444675652056	241	122.50903336850816	102.1	977.1675757624662		8	1	21.9693308141843	0.23379408298490453	39.79415380612625	241	109.47680225034175	101.9	1471.5006207299102		
17	0.69	14.647815564895721	0.23105049926231136	28.13942549356699	241	112.23138809902619	105.23188405797102	393.7391881663844	103.54838709677419	60	1	21.562877350353197	0.2527867836551135	41.110640769116166	241	108.3188472641999	102.08	1358.2440626198534		
18	0.89	15.863113804473754	0.17889883688668518	39.91737072908479	241	109.14695550456452	105.34831460674157	137.82857264575523	104	58	1	21.93222941112076	0.2506570140386178	48.33867604436691	241	106.28856612600633	102.06	1742.0586206892935		
19	1	21.720715045938928	0.28645010325945836	33.05518905915271	241	107.52879004253018	102.32	925.6351378035552		63	1	20.814686843037254	0.1945606070458559	72.2913487692406	241	121.94230247858515	102.23	1856.7876099986534		
20	0.9	17.30968957956699	0.22047022626818616	31.306488218965043	241	114.97466022742647	103.11111111111111	278.87110955239484	103.8	57	1	21.063274075321857	0.3233799184970242	37.296164991705	241	114.89403337985765	102.33	1460.5636580829378		
21	1	21.492896597674953	0.2994182961523641	38.30660040892077	241	114.23755685490445	102.37	1254.0592502859938		61	0.94	19.17662899342989	0.20357760272013115	78.39891225391612	241	125.03469067349214	102.51063829787235	526.8091238078563	103.83333333333333	
22	0.98	20.970641102455726	0.2804169330346767	34.5201092375665	241	111.21541407413608	102.74489795918367	556.5895342981271	104	59	1	20.648784819012807	0.2066009173533302	120.27531053800881	241	126.30817636490296	102.2	1264.725		
23	0.99	21.221864951767696	0.24396495987892133	41.17479610917338	241	114.7406105624376	102.48484848484848	892.176325525977	101	62	1	20.631318341242995	0.21014678371145099	102.73023262694623	241	126.12438439684016	102.22	1757.372435887381		
24	1	21.64455314819982	0.2678600306174424	36.36627008045306	241	115.04804763123333	102.49	1239.6860061891077		43	1	20.517871065698028	0.21309768443346985	142.47604250887733	241	126.27962409837387	102.4	1463.2365222341878		
25	1	20.06259529732663	0.21921670317429318	108.99916471961339	241	125.30724010183314	102.27	1743.82971693556		149	1	20.65049044914916	0.35214653109300864	50.08898890434218	241	114.32373044535778	102.66	1194.1179692149278		
26	1	21.262571495395704	0.3470471067951019	46.68795963282328	241	112.4144665630069	102.72	1135.8248106466026		94	1	21.781272461936783	0.34973562501670813	49.380290856366976	241	105.25957090980475	102.52	1188.2323703668249		
27	1	20.426088199848557	0.2512301023752471	46.06209670558045	241	122.15797405255518	102.73	474.340827856635		150	1	21.3028844105494	0.3301175181671016	42.50962642388339	241	113.53063879125746	102.74	1240.3975609756953		
28	1	20.799966720053952	0.2794771924319975	38.98797383292455	241	119.5314683832536	102.87	1054.2893991420303		64	1	21.83167776443509	0.3744802530422176	50.37319897629935	241	107.07846386374112	102.81	1343.5456939837793		
29	1	20.456591113657208	0.35920245197764394	48.24151348644495	241	117.6796117519918	102.95	977.3427883808218		151	1	21.539190557219076	0.35942272129165326	40.339040187467226	241	111.44999952713766	102.7	1452.4714285714288		
30	1	20.872469213107152	0.28306301469484263	38.181217426064016	241	121.03318332758357	102.82	1284.9059099625676		95	0.97	20.806967116412178	0.38134189940701346	57.63200435493112	241	107.06542990398539	102.9381443298969	1055.6597720840905	103.33333333333333	
31	1	20.837674515524068	0.3325682937977536	46.20276556651772	241	113.59182404398132	102.94	1101.2375947624648		152	0.98	20.409013286685944	0.28032931192321175	62.85519804533005	241	113.53510232277505	103.01020408163265	649.0634567211886	106	
32	1	22.036624870535743	0.35103735698909877	37.78213973707229	241	113.4333018543997	103.04	740.3672200541644		6	1	20.459520838023142	0.30303905115468927	42.329818974448884	241	116.7614543683763	102.95	865.2568569427731		
33	1	20.598170882425443	0.33800466896076814	35.71510619307453	241	116.35410550846746	102.94	982.273695094446		153	0.99	20.127678607733525	0.28738758329565134	44.400090851603196	241	121.1315404578074	103	1041.116605973626	103	
34	1	21.310147892427008	0.33430535128151484	38.29384227227593	241	116.58580119999365	102.96	1256.20008192577		96	1	20.733123237685724	0.4510858011628001	64.58826548440106	241	115.95713865334426	103.29	990.456122479186		
35	1	21.836921867493448	0.42536210486590437	57.51510881956214	241	105.65601428315215	103.05	978.2921257177629		154	1	21.31514441010232	0.38313169949220777	49.02746511329034	241	108.49775073780783	102.97	959.3557958377605		
36	1	20.835937825560922	0.2858989076083834	54.289052120453455	241	121.01949234683559	103.05	742.5739512841989		65	1	21.085480538102082	0.32380333019817215	46.32854863121753	241	113.95858148055012	102.94	1257.8680100024321		
37	1	21.115310711796504	0.3527164223447209	41.96600443525922	241	113.73851651106658	103.04	1220.6437429548014		155	1	20.563861070555003	0.32228234734225114	51.914967658928035	241	118.51455251018587	103.07	1137.2149420537685		
38	1	21.443581935927007	0.406089402447656	49.579445217359776	241	108.68678005807222	103.15	1017.3769631197911		97	1	21.39357764798986	0.417248608853549	54.39840193693883	241	108.48550615778629	103.11	1366.6515578553533		
39	1	21.549402004094386	0.3760915732463175	45.54178591055127	241	111.2002187051302	103.18	1250.1800207840738		156	1	21.174776606106388	0.39750814396946793	49.79606145714775	241	109.06028108987768	103.28	1257.0532510740582		
40	1	22.277172581255726	0.44509412434801476	55.24658562103586	241	103.8430594263936	103.21	922.846458943985		44	1	20.81382037672914	0.437130095204624	49.568849909665765	241	113.82827569674015	103.26	1328.1887286501021		
41	1	21.39495079161318	0.40209419944228636	42.60567865731039	241	109.60714280188805	103.11	1446.6548198326268		157	1	21.162229652515563	0.415327038344321	54.25944843275394	241	111.2270505765413	103.44	1140.3769931168479		
42	1	20.743445071357502	0.3854868031829527	76.40885302086453	241	116.29023557857245	103.57	1238.7743009007988		98	1	20.69707757264734	0.3615189764214019	54.835671708387444	241	116.99602913959619	103.27	1224.5085735832486		
43	1	21.270259922576674	0.3244587416730045	180.8845223968734	241	113.57422364672095	103.43	1362.1315918922483		158	1	21.166260979998924	0.31991109739112883	136.95123822253933	241	114.70401677834809	103.48	999.9532669645916		
44	1	22.961058045554676	0.4251378188439366	53.87437304459563	241	105.15559460177693	103.62	822.488463891453		66	1	21.43392991105133	0.36084798374498417	47.517789354314544	241	110.49658288372976	103.47	1000.094871398021		
45	1	20.913064391325463	0.38674339368944194	51.462035616141435	241	112.14312330047451	103.71	1103.3720006617443		159	1	21.468441391156073	0.42012596718056544	61.03537046418228	241	112.19129896582622	103.57	941.8715346169251		
46	1	21.690562436284573	0.426978822698026	46.45324712839067	241	108.19244256287897	103.52	955.841935553311		99	1	20.90301003344685	0.3694328033007679	74.74862207875498	241	114.45315526042155	103.52	1139.0012696105787		
47	1	20.997816227112278	0.4120201322854604	47.980664374681545	241	111.33477870947473	103.72	1006.114057606421		160	1	21.568458286602105	0.4567072161828888	63.67123790436592	241	106.57737133647626	103.55	1126.9413037709705		
48	1	22.609088853719197	0.47211240725667136	59.00647926685568	241	104.30805102097206	103.53	1099.4273427058863		37	1	21.369347807503427	0.46990257141852226	44.76790072565175	241	109.4821484405332	103.62	1150.0888560789115		
49	1	21.10550642662681	0.44153324163619523	58.15749004020193	241	108.41242085626983	103.75	950.5935328915092		161	1	20.544849406253263	0.3479660730931717	76.66967682366881	241	124.19721055950578	103.61	1059.1527553898954		
50	1	21.8775295893581	0.47656705689504764	54.73685903913119	241	105.17751153386016	103.71	1055.6822418265172		100	1	20.59986816084318	0.4243131859031464	83.43279616341509	241	117.12416687747658	103.75	1044.2339603525104		
