index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
0	0	0	
625	0	0	
937	0	0	
1093	0	0	
1171	0	0	
1180	0	0	
1185	0	0	
1187	0	0	
1188	0	0	
1189	0	0	
1190	0.281	352.0200438427813	0.37864768683274047
1191	0	0	
1192	0	0	
1195	0	0	
1200	0	0	
1205	0	0	
1207	0	0	
1208	0	0	
1209	0	0	
1210	0.1065	132.22422248435228	0.38169014084507047
1250	0.1425	177.6364996280237	0.4398245614035089
1562	0.134	140.16736401805068	0.3531716417910449
1563	0	0	
1564	0.001	1.164144353904301	0.575
1565	0	0	
1566	0.225	266.714082501208	0.4314444444444448
1567	0	0	
1568	0.0015	1.6626025271617195	0.5833333333333334
1571	0	0	
1581	0	0	
1601	0	0	
1640	0.0075	8.112932013705738	0.6033333333333333
1718	0.033	32.23285798021937	0.4174242424242424
1875	0	0	
2031	0.0115	12.47018000432549	0.34347826086956523
2035	0.039	38.33488966452665	0.3525641025641026
2037	0.0665	69.11604219668425	0.4182957393483708
2038	0.362	366.48949632995664	0.3854972375690608
2039	0.1125	112.10203776660197	0.3946666666666667
2040	0.172	166.28800696061631	0.4151162790697675
2045	0.137	282.9993802924567	0.41879562043795615
2050	0.1205	135.8205590626174	0.3921161825726142
2052	0.152	142.45548266033157	0.4633223684210526
2053	0.1825	197.02040375860557	0.39945205479452073
2054	0.34	346.72649397978495	0.40115196078431387
2055	0.2525	256.8536696988722	0.41128712871287165
2057	0.253	274.1655830081528	0.40820158102766824
2058	0.144	141.82301669354277	0.4013888888888891
2059	0.271	553.4000408515141	0.41349938499385025
2060	0.1925	196.22833843021985	0.45194805194805193
2061	0.107	96.31396552608508	0.40327102803738324
2062	0.294	314.00192246034374	0.4026360544217691
2063	0.28	288.4516328407013	0.4292857142857145
2064	0.0445	37.93529687574355	0.3949438202247191
2065	0.118	126.85443990703827	0.39576271186440704
2066	0.4105	400.93763735009634	0.41370280146163185
2067	0.2885	278.71703217250376	0.40320623916811144
2070	0.288	315.2191758324254	0.3894965277777781
2079	0.264	276.9908718920668	0.39782196969696976
2081	0.2245	239.6711860773396	0.37798812175204166
2082	0.127	138.1636205390117	0.3958661417322836
2084	0.1195	118.07717009972917	0.4596234309623431
2089	0.1585	162.83967740274915	0.41225026288117783
2091	0.1935	204.63197969405093	0.3932816537467702
2094	0.2395	252.23802001374818	0.3928322894919976
2095	0.344	365.06420460762814	0.4240552325581394
2096	0.3175	316.298067346829	0.44086614173228356
2097	0.1845	181.8450620943372	0.37669376693766954
2098	0.1015	93.89454209017144	0.37610837438423644
2099	0.077	73.97799875067494	0.4233766233766233
2100	0.241	241.74942320884603	0.44107883817427407
2101	0.2425	219.45701357546986	0.4010309278350519
2102	0.202	220.97030027970183	0.39777227722772307
2103	0.182	358.444116195876	0.48489010989011005
2104	0.149	154.84541439151303	0.44284116331096224
2106	0.18	190.2748414383814	0.39111111111111135
2107	0.241	245.1304480496306	0.4003112033195025
2108	0.211	220.4000626737058	0.4289099526066351
2109	0.453	458.1079031156975	0.40958425312729924
2110	0.1555	141.01110859145632	0.3983922829581995
2111	0.257	240.602911574642	0.3979571984435801
2113	0.235	231.72114578649524	0.39457446808510666
2115	0.2	421.31872762492327	0.44637500000000047
2116	0.2575	457.5337597728118	0.5070873786407768
2118	0.287	299.926847108994	0.3990418118466902
2128	0.248	242.34132994502752	0.4453293010752689
2148	0.285	295.59715811861423	0.41824561403508786
2167	0.329	323.75516630641647	0.4162613981762918
2168	0.0215	45.62818336163439	0.44418604651162796
2169	0.1635	318.000583494639	0.44418960244648353
2172	0.097	198.56704196245497	0.4886597938144328
2177	0.036	75.53503986428005	0.3743055555555555
2179	0.0805	172.93233083035454	0.41459627329192544
2182	0.1395	281.7043618795135	0.46308243727598575
2184	0.082	179.7260273961138	0.450609756097561
2185	0.543	904.2464612815636	0.3796500920810309
2186	0.222	426.1036468384405	0.4396396396396401
2187	0.3765	387.24607868680465	0.396082337317397
2188	0.1635	155.4404145094098	0.42420998980632024
2189	0.24	247.43543481653649	0.4167708333333336
2191	0.247	241.44672531744575	0.40161943319838106
2196	0.2715	274.7836647943112	0.4194290976058935
2197	0.2705	287.1397484172213	0.4177757239679609
2198	0.336	335.17881191083404	0.40498511904761925
2199	0.1845	177.86561264885214	0.39674796747967506
2201	0.1915	208.4240313453544	0.39895561357702375
2206	0.1555	150.13275404151284	0.39694533762057904
2226	0.1715	171.97292554518918	0.402915451895044
2245	0.204	216.4226607268339	0.3980392156862748
2255	0.2055	186.58918599947853	0.40170316301703174
2256	0.3055	291.6189385287216	0.4207037643207859
2257	0.382	408.2286935594861	0.4048429319371728
2258	0.184	172.63217150646412	0.40489130434782655
2259	0.3675	380.19863438867924	0.39673469387755134
2260	0.32	341.71605531755495	0.4219010416666668
2261	0.135	268.3363148470238	0.41703703703703743
2262	0.1535	301.09846998834064	0.4350705754614553
2263	0.104	201.98096718018436	0.43461538461538474
2264	0.3315	589.5429486139078	0.4762443438914029
2265	0.2705	286.7592494437476	0.3852125693160817
2304	0.2585	245.7925263867058	0.448452611218569
2323	0.2875	278.22131901155416	0.405130434782609
