index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
2	0.004	0.9721479609194649	0.425
3	0.046	14.918596354675694	0.4282608695652175
4	0.126	22.198731501059132	0.46984126984127
5	0.316	60.03723828704086	0.5034810126582279
6	0.124	24.925625150760034	0.5137096774193549
7	0.26	50.35441763178057	0.5642307692307691
8	0.004	1.1810558639422875	0.675
9	0.046	14.638492871687472	0.6700828157349897
10	0.166	41.86633039091902	0.5721457257601837
11	0.186	36.48060251835602	0.5844086021505378
12	0.018	4.376793269464163	0.5555555555555556
13	0.072	15.961691939345508	0.5847222222222224
14	0.1	24.993751562108198	0.6070000000000004
15	0.098	25.614218504959787	0.598979591836735
16	0.076	16.504517025721835	0.5776315789473687
17	0.022	6.38236147374507	0.6181818181818182
18	0.14	35.07014028057544	0.6385714285714288
19	0.012	3.0886440852460817	0.7000000000000001
20	0.062	15.524062296573062	0.7145161290322583
21	0.002	0.5057657293143463	0.8
22	0.012	3.0945381401838645	0.7083333333333334
23	0	0	
24	0.016	4.102353725449934	0.7749999999999999
25	0	0	
26	0.006	1.1135444118634568	0.8000000000000002
27	0.004	0.6972042111134868	0.7
28	0.006	1.4260588486953851	0.7833333333333333
29	0	0	
30	0	0	
31	0	0	
32	0.004	0.9626028781826881	0.8
33	0.002	0.381417346861083	0.8
34	0	0	
35	0	0	
36	0	0	
37	0	0	
38	0	0	
39	0	0	
40	0	0	
41	0.002	0.3284719484957216	0.8
42	0	0	
43	0	0	
44	0	0	
45	0	0	
46	0	0	
47	0	0	
48	0	0	
49	0	0	
50	0	0	
51	0	0	
52	0	0	
53	0	0	
54	0	0	
55	0	0	
56	0	0	
57	0	0	
58	0	0	
59	0	0	
60	0	0	
61	0	0	
62	0	0	
63	0	0	
64	0	0	
65	0	0	
66	0	0	
67	0	0	
68	0	0	
69	0	0	
70	0	0	
71	0	0	
72	0	0	
73	0	0	
74	0	0	
75	0	0	
76	0	0	
80	0	0	
96	0	0	
128	0	0	
256	0	0	
