index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)
0	0	0		
1250	0.0002	0.08500148752603666	0.5	
1328	0.0004	0.18780488950030366	0.4375	6.062177826491071
1347	0.0114	4.431796977047885	0.3725146198830409	31.684773703388476
1349	0.017	5.904212829506862	0.3667647058823529	38.69966270581996
1352	0.0895	32.13240705835764	0.3705214152700183	88.50017877368613
1354	0.0326	10.993532026249568	0.3661042944785277	53.72612779841497
1355	0.0254	9.772575997168532	0.3671916010498689	47.62206468333155
1356	0.0392	13.285748662104439	0.40310374149659906	66.52571600670895
1357	0.1977	76.40668297603361	0.4003793626707115	144.73999874629519
1358	0.1312	42.97468686127319	0.3814786585365847	109.03119666911729
1359	0.0649	23.05129534782817	0.4058038007190555	86.60246070584836
1362	0.1052	36.39974672419867	0.4026615969581739	108.75155820017137
1367	0.1026	42.16496116385378	0.4130604288499014	111.00204525787112
1406	0.104	40.05515286433085	0.4138621794871782	115.50719237653306
1562	0.1746	66.3719337192987	0.3968785796105368	134.19360451998352
1875	0.1451	40.48684665781478	0.443142660234319	160.33973375043794
2500	0.135	47.14180954709139	0.40338271604938175	112.62542973875053
5000	0.1427	36.184385689544	0.4699369306236857	140.17683474096359
10000	0.126	19.864605372271885	0.4716534391534392	131.3646574515327
