index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)
0	0.9905	467.93433329393423	0.28136463065791667	155.1662248224605	0	
1	0.992	495.60351718624236	0.28430779569892456	146.30786782895987	1	
2	0.9975	492.5682682337156	0.2822890559732662	153.87492074910543	2	
3	0.9705	421.62655313229067	0.2786106817791514	157.91277442925707	3	
4	0.945	432.8905176362803	0.28971781305114613	136.15116125842067	4	
5	0.9785	488.18819068522265	0.2896269800715378	139.04689936417276	5	
6	0.994	487.8767056052611	0.28070087189805487	151.461093743586	6	
7	0.9695	449.2898023495415	0.2843647928485471	143.98480391977418	7	
8	0.939	433.7482966488032	0.2742279020234291	164.69533711345082	8	
9	0.996	492.0219335078679	0.28227911646586323	151.78887736779976	9	
10	0.9805	480.0137076836818	0.2853136155022945	146.068156674449	10	
11	0.8795	394.12950929861637	0.28499147242751527	138.3788392653186	11	
12	0.986	477.2738273875739	0.277729885057471	159.69067324526702	12	
13	0.993	479.91880527762186	0.2807653575025176	153.54116079053856	13	
14	0.884	374.49692861678153	0.2835972850678732	142.34009256212377	14	
15	0.9895	439.9831032260095	0.2818763685362976	150.27262054980915	15	
16	0.9735	449.4563586416901	0.2835986988529359	149.9346046014731	16	
17	0.996	468.7941259530936	0.2842871485943773	145.74105836994033	17	
18	0.9485	433.96701210159495	0.28321033210332075	144.97930015632463	18	
19	0.9655	436.867944164219	0.2860262385637836	143.94326206587726	19	
20	0.992	472.80873170960143	0.28548387096774164	148.0984175541866	20	
21	0.9795	464.8017652501431	0.2848136804492086	144.2257042541817	21	
22	0.9875	463.56061495136015	0.28220253164556935	151.71628411036272	22	
23	0.983	454.70314776696756	0.27988301119023373	154.73753190685295	23	
24	0.9725	454.1633587073792	0.2850128534704367	145.82867028897633	24	
25	0.98	470.4413988431159	0.27913265306122437	157.06030609350688	25	
26	0.9805	452.36447520183935	0.2894696583375827	135.19853764638378	26	
27	0.996	464.11929170545847	0.2792838018741631	157.7420360300581	27	
28	0.9435	402.8780050385835	0.27681505034446197	158.32646993340413	28	
29	0.968	434.5483928891757	0.27922692837465557	152.55776324850888	29	
30	0.9725	463.30482837468327	0.27845758354755773	158.78442863848372	30	
31	0.9425	424.1483281580573	0.2777984084880635	155.32751074306532	31	
32	0.9565	423.3799575070909	0.2794302143230526	151.2472153579735	32	
33	0.999	498.67718264854574	0.27790290290290276	159.10394346766932	33	
34	0.9145	397.7297438350621	0.2781939128850007	154.10240631549712	34	
35	0.9505	397.249968654685	0.2793529721199367	151.92534172187655	35	
36	0.973	475.5504508686551	0.2803956834532372	153.12729861819005	36	
37	0.9705	459.5714454836036	0.28281813498196784	149.66101888688578	37	
38	0.913	399.9036376776701	0.2805312157721794	150.80521046242413	38	
39	0.9585	430.9511498774768	0.2780038254216656	155.96597377161686	39	
40	0.9345	438.8148009016306	0.27952559300873886	152.76654384742028	40	
41	0.9665	456.3698177353757	0.27796171753750615	158.904730652104	41	
42	0.99	482.71490565113095	0.2896212121212119	138.1642294724636	42	
43	0.98	477.1642808452381	0.28329081632653047	147.50535533216072	43	
44	0.992	478.48736253139015	0.2761256720430105	164.08891579788946	44	
45	0.9935	454.7326986451873	0.27898842476094593	157.7259512744824	45	
46	0.9795	476.95566430505306	0.284566955929896	142.76000129552804	46	
