index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)
0	0	0		
625	0.023	8.048993875760202	0.3345191040843215	14.27958556797012
937	0.006	1.8336847895835744	0.2407407407407407	11.86732207927856
1093	0.026	6.977617948585316	0.2670940170940171	22.381574222602385
1171	0.037	8.132046858169492	0.32762762762762765	21.95702876422222
1190	0.026	6.689995883080469	0.3121600621600621	29.12721784903231
1200	0.019	4.105356409756256	0.3052631578947369	14.7851398545094
1205	0.06	10.967116927744465	0.2803703703703703	39.693623607756784
1206	0.022	4.835696230357799	0.2944444444444444	16.573219923276085
1207	0	0		
1208	0	0		
1209	0.112	18.67880789179541	0.2746031746031742	45.614756844717874
1210	0.133	23.74364009639991	0.2675476570213409	52.48495366055148
1250	0.175	52.313763003653825	0.25264069264069233	55.65304185627289
1328	0.166	22.856198711239507	0.2836573566995251	53.59538868062647
1367	0.136	36.388933483152606	0.27031899881164556	44.262046395746644
1371	0.147	32.74087932645135	0.2895880574452	46.46110662900717
1373	0.116	26.73057424645601	0.28954197143852284	49.49376619262882
1376	0.073	22.537820314902287	0.2775840597758404	33.52526261780832
1381	0.045	9.174873080923991	0.2869135802469135	24.837363094892336
1386	0	0		
1387	0.14	23.13590692754506	0.2896121933621929	48.693755046497024
1388	0.075	14.740566037736608	0.2565521885521883	32.49384434442228
1391	0.11	17.815784785312857	0.28359274563819986	42.694422836685
1396	0.087	22.66805627931369	0.2860559619180307	38.97054680639544
1406	0.059	11.424809263771145	0.2774096901215545	33.545945188664284
1484	0.056	9.889275433978915	0.31825847763347775	30.133650425446714
1493	0.009	1.8256318714748847	0.32929292929292925	15.832543018789101
1498	0.041	8.807166025822807	0.3407735895540774	22.726178834440844
1499	0.035	7.8880349778022545	0.30190476190476195	20.078621423205927
1500	0.173	45.18504975577001	0.3344996204822793	53.03956503123065
1503	0.195	29.97601918463734	0.3248601398601397	57.18953998147285
1504	0.035	5.573780934484683	0.3143650793650794	24.182981261566685
1505	0.053	7.561382734365547	0.31908233276157805	25.348384836380564
1508	0.036	5.821192374237233	0.34747474747474755	25.286975946444475
1513	0.049	9.069203575855807	0.3028911564625852	28.37681820778299
1523	0	0		
1525	0.141	32.62906995580328	0.34367791389067986	44.20804463635862
1527	0.072	14.966325767015087	0.3344416386083051	36.452875309671754
1532	0.084	15.041363750317894	0.3515151515151513	39.19546560752842
1542	0.052	13.693579817771964	0.34612956487956487	31.695301665344974
1552	0.019	5.104096709201005	0.31695906432748533	21.56887371754335
1557	0.017	4.1170202460531025	0.305050505050505	14.394346211163866
1558	0.005	1.1077632045377896	0.3311111111111111	6.438072288798819
1559	0.142	26.149568163821577	0.32229513444302166	49.24898383373657
1562	0.12	25.538978866490496	0.32623737373737355	42.41486866045293
1875	0.087	22.42672647126763	0.3061592940903284	39.76432885417406
2500	0.079	16.739770728707434	0.3236286919831221	32.12513760710143
5000	0.09	11.801730920534697	0.3163524130190795	38.299050921454096
10000	0.079	5.488550466874386	0.32693069939905356	34.381980964293085
