index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
2	0.998	455.3750684389667	0.2590180360721443
3	1	429.3319594750629	0.2825
4	0.996	460.72717180091945	0.3341365461847391
5	0.994	426.82926830014236	0.3667002012072438
6	0.988	422.51111871223685	0.3828947368421058
7	0.994	417.7172634081321	0.4355130784708255
8	0.988	437.052110051966	0.46062753036437337
9	0.982	413.43886830417335	0.465682281059064
10	0.97	421.4825758240259	0.48216494845360897
11	0.958	406.8631614676063	0.4783924843423807
12	0.958	421.3211364190695	0.4970772442588732
13	0.966	388.7636831974903	0.506625258799172
14	0.936	387.6739562610197	0.5130341880341881
15	0.918	346.153846153603	0.5145969498910681
16	0.866	356.1441026468796	0.5510392609699765
17	0.86	340.0553578515819	0.540697674418604
18	0.852	360.43658516072446	0.5571596244131444
19	0.82	325.16456499484394	0.5635365853658525
20	0.784	331.3609467483664	0.577806122448978
21	0.804	318.3149893099302	0.585572139303481
22	0.742	313.98104265889134	0.5933962264150923
23	0.708	300.1017293990028	0.5994350282485851
24	0.694	300.38088643199313	0.609510086455329
25	0.68	291.84549356019033	0.6105882352941154
26	0.66	294.5376651158297	0.6154545454545433
27	0.586	261.5137450876913	0.6341296928327624
28	0.554	257.2436849971761	0.624729241877254
29	0.508	243.92586190065205	0.6446850393700769
30	0.494	228.1966001448941	0.64068825910931
31	0.528	237.23939611734485	0.6486742424242408
32	0.406	208.8262524402433	0.6564039408866973
33	0.476	203.90678547015858	0.6481092436974769
34	0.406	190.4493854981714	0.6605911330049239
35	0.364	181.47372619544444	0.6623626373626356
36	0.36	168.88722086517606	0.6622222222222202
37	0.32	149.58863126163385	0.6937499999999982
38	0.252	132.20018885555893	0.6746031746031736
39	0.304	144.78948371008485	0.6904605263157878
40	0.246	129.82900569918465	0.6947154471544704
41	0.274	139.63918051517	0.6781021897810205
42	0.206	108.48957236341774	0.7033980582524265
43	0.196	104.90259045298359	0.6892857142857141
44	0.158	86.22571491149448	0.7139240506329113
45	0.172	87.46059188254054	0.7203488372093018
46	0.152	81.73800817269147	0.7223684210526314
47	0.138	71.090047393324	0.7413043478260868
48	0.112	60.90266449229632	0.7499999999999999
49	0.128	67.69621324329512	0.7249999999999998
50	0.092	48.96742601645342	0.7467391304347829
51	0.06	32.99967000261201	0.766666666666667
52	0.076	40.84703858938329	0.7578947368421057
53	0.068	39.91547311556721	0.7588235294117651
54	0.056	30.574361214641566	0.7357142857142859
55	0.072	38.28565351416071	0.7430555555555559
56	0.056	32.64164140833164	0.7571428571428575
57	0.046	25.377910184199195	0.7739130434782611
58	0.02	11.846937566405705	0.76
59	0.038	21.13224335423902	0.8000000000000003
60	0.018	9.725524097610162	0.7555555555555554
61	0.026	15.102230483360426	0.7961538461538462
62	0.006	3.400589435530155	0.8000000000000002
63	0.022	12.260365581718442	0.7999999999999999
64	0.006	3.273679615829537	0.8000000000000002
65	0.006	3.1952284589056434	0.8000000000000002
66	0.016	8.52424080963581	0.7499999999999999
67	0.008	4.565167769921852	0.8
68	0.01	6.039376736292617	0.8
69	0	0	
70	0.004	2.0714655618415745	0.8
71	0.002	1.059546514115441	0.8
72	0	0	
74	0	0	
75	0.002	1.1814744801380335	0.8
76	0.002	1.1058277120489555	0.8
78	0	0	
80	0	0	
96	0	0	
128	0	0	
256	0	0	
