index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
0	0	0	
3125	0	0	
3906	0	0	
4101	0.142	113.92811296500818	0.5389671361502348
4198	0.192	92.45882692991465	0.47708333333333336
4247	0.358	169.2991582308421	0.4721601489757915
4271	0.288	129.75310866756976	0.4207175925925925
4283	0.272	119.17280055948078	0.42242647058823524
4289	0.522	207.96812749409102	0.4125798212005111
4296	0.646	264.1262572587673	0.4083075335397319
4320	0.78	299.3552348775886	0.35653846153846164
4344	0.96	357.7550868328228	0.3146875000000001
4393	0.958	409.4717045637256	0.2975991649269312
4491	0.968	384.15747281391134	0.31532369146005523
4687	0.992	413.26445592675447	0.2954637096774194
6250	0.986	387.42632613214704	0.315922920892495
12500	0.968	367.8370573085404	0.29535123966942156
25000	0.99	349.05859953215855	0.30548821548821553
50000	0.938	267.57188498593774	0.296766169154229
100000	0.964	226.7701717248715	0.30529045643153535
