index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)
0	0.98725	476.32832760393245	0.28699670802734856	199.4910205614094	0	117.67342478910808
1	0.9945	492.8635147190891	0.28421317244846633	208.34265571647794	1	117.99136672597724
2	0.9925	478.9133371935866	0.28311922753988217	210.57214497852036	2	118.80705432344145
3	0.99475	485.1433239450592	0.2899472229203316	198.0912894265517	3	117.27914284367928
4	0.92325	407.1350612411307	0.28192075097030395	205.8811747908324	4	116.96966018904011
5	0.97225	462.0960076045052	0.2890031713379618	195.6582584181754	5	116.9613235548181
6	0.998	492.705684875751	0.28674849699398797	204.3302056457552	6	116.10363906523986
7	0.957	457.8290197579639	0.2945663531870427	183.86285478425978	7	118.70070839047808
8	0.98725	470.5223524926362	0.2813497087870344	214.3061051197155	8	118.80282552742777
9	0.99575	481.38747884944166	0.28439618378106946	208.21209210186598	9	117.8904930426971
10	0.984	480.16395842490573	0.285259993224932	203.52468880850648	10	116.97594594567771
11	0.98925	476.39112951775905	0.2843273523713249	205.7827681964935	11	118.52039512651626
12	0.9965	487.0359961877931	0.2915203211239335	193.020142723335	12	119.77298474347711
13	0.99425	494.1047845047278	0.29321515380102237	188.993153743005	13	118.00349622634837
14	0.99425	486.82261638086544	0.2898290168468693	195.9654032362295	14	117.10047759971398
15	0.99525	495.6671148961472	0.2935066566189398	192.82799408920417	15	117.6116325495321
16	0.99625	484.89346945230335	0.28418653283145123	206.73756269491687	16	116.7096251078262
17	0.975	456.0443415421662	0.28247008547008534	212.3974406010323	17	120.44985782251601
18	0.954	454.97359102451003	0.29379804332634496	185.85565607659706	18	119.35239477897342
19	0.985	468.00019005086193	0.28733502538071065	197.61731995050468	19	115.34038219781085
20	0.97375	461.6569870807159	0.2912751390671799	190.26176237100066	20	117.77315162668494
21	0.99225	479.4115160226924	0.2846644830771813	207.8496822690015	21	118.52979226702263
22	0.98075	470.2258234645285	0.2898037216416005	197.32950068031252	22	117.60345085274338
23	0.98775	474.1332757317284	0.28352315869400124	208.2222243469205	23	117.84230363621025
