index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	order_index (sequential)
1	0	0			253		0	0	0			253		
2	0.46	0.057073702249473425	0.678031685550726	28.717043562152757	253	8.81676521808614	12	0.84	0.10016302725102574	0.7940850289128214	63.11040776254033	253	8.993815512339205	
3	0.86	0.120759549482622	0.6817020091407059	45.757046630917124	253	8.896659723954349	16	0.94	0.12564778786376662	0.7335929399375867	45.9592856381738	253	8.994371619217251	
4	0.94	0.11835812600305326	0.6352225722329093	44.893671278182445	253	8.716232568716046	11	1	0.13442168297022494	0.7374378439988534	50.35776925273142	253	8.97847943029823	
5	1	0.1492787745287382	0.7270657176261875	68.91242557769439	253	8.95797930857333	22	0.98	0.14162492344305386	0.7217058964080522	54.36278832264194	253	9.030672547418941	
6	1	0.15868265468464668	0.734724685573357	53.296225739707886	253	9.048656583790994	21	1	0.16168964384297974	0.7453990822496008	54.88530408181325	253	9.00656716598163	
8	1	0.1586809424505412	0.668443403236581	63.29054028298175	253	8.583097198312613	10	1	0.16995247109193098	0.7759881744162547	72.15333315569542	253	9.041806665194631	
16	1	0.15982411675598884	0.7712787324091631	91.0721345238606	253	8.508856843830477	8	0.96	0.1650464605786533	0.8618179537757101	111.0746179564785	253	9.09042234083647	
32	1	0.1812109603637193	0.7956435106584463	103.51366079001086	253	8.419335306247389	6	1	0.15368750105660772	0.8871171084989072	111.12641662945654	253	9.154840113071218	
64	1	0.17100600094258106	0.8562200109776176	152.72514162433413	253	8.292506379310154	4	0.96	0.1529865849888306	0.9214840005986477	128.4752242781782	253	9.140367579781188	
128	1	0.09789835722640605	0.9433200306092715	291.3829680485593	253	7.708547872125061	2	1	0.38875684114853015	0.9326887482573136	188.4409484408213	253	10.075728388295682	
192	1	0.12826103686222146	0.9626832414564703	580.5495504342339	253	8.229421861881006	3	1	0.35966358506909196	0.9606764252551568	281.7509230986629	253	9.366456050177247	
224	1	0.13839298070801545	0.9766085661696376	926.4578708085811	253	8.338910951316715	5	1	0.2326532568431611	0.9765367711580683	815.1021598894059	253	9.199166184613466	
240	1	0.14619592358982225	0.9858294269806197	1468.7753502360777	253	8.499131705363512	7	1	0.4603492024910684	0.9868036349410387	1900.643362862072	253	9.455512294629964	
242	1	0.17021363513346358	0.989140653528844	1857.9480944622585	253	8.949086462795766	23	1	0.2096322672693994	0.9887843204897244	2006.5673051023653	253	9.173499085801007	
243	1	0.16190346667702799	0.9906049677681693	1985.012746019883	253	8.957991999534135	24	1	0.3033739429693399	0.9899045261987086	2130.8454476520546	253	9.424437644269805	
244	0.98	0.1475401444689081	0.9908711400728366	2157.579926514362	253	8.894240283039899	18	1	0.1446291390690208	0.9909342197478229	2177.471376182773	253	9.049769268440942	
246	0.96	0.12992665640246337	0.9937140205716674	2629.1366941393503	253	8.893100248012152	19	0.94	0.11970902048220738	0.9940600465464742	2568.466473704943	253	9.055598580677252	
247	0.86	0.10460032216899545	0.9957105274823714	3786.0801050490804	253	8.998193231693707	20	0.88	0.0970035600306564	0.9949774431625975	2791.6867041436194	253	9.06879908545656	
248	0.84	0.082212293674058	0.9962964732565014	3962.318819519459	253	8.74357828708979	9	0.88	0.13201110213369802	0.9961754174999021	3387.3596343683403	253	9.863497258832423	
249	0.54	0.048534675239208555	0.9973663820893337	5017.596205714989	253	8.816894867779618	15	0.82	0.16434479538070873	0.9963927306126408	4294.3558125215595	253	9.475856650217471	
250	0.28	0.036983889817594075	0.9977393689005293	3503.4684790628107	253	8.914775072696722	14	0.54	0.10161106220817909	0.9979362820863827	5135.603591709744	253	9.498167692991615	
251	0.1	0.015381752012318103	0.998584370542015	3225.9880200617085	253	8.822868263089186	17	0.22	0.05764821487061906	0.9978780692092588	3772.7545563269596	253	9.352517240624143	
252	0	0			253		13	0	0			253		
256	0	0			253		1	0	0			253		
