index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	mean_total_iterations (division)	total_iterations_SNR (division)	mean_total_iterations_failing (division)	order_index (division)	success_ratio (sequential)	success_rate (sequential)	mean_second_ratio (sequential)	second_ratio_SNR (sequential)	probe_index (sequential)	mean_time (sequential)	mean_total_iterations (sequential)	total_iterations_SNR (sequential)	mean_total_iterations_failing (sequential)	order_index (sequential)
1	0	0			133				1.13	0	0	0			133				1	
2	0.37	311.18587047598203	0.5945945945945945	25.644933771514804	133	9.78068693693694	3		2	14	0.29	196.61016950238775	0.6206896551724138	28.07713513237012	133	22.577316810344833	3		2.0140845070422535	
3	0.99	536.8763557533895	0.47373737373737357	46.737704744838815	133	29.555360243055553	4.444444444444445	88.09544869519716	3	25	0.93	437.8531073366653	0.5172043010752689	50.50941652217563	133	10.383516045026882	4.602150537634409	89.70057904225854	3.142857142857143	
4	0.8	337.4103753712294	0.5760119047619049	45.799330774745485	133	10.369847237723212	6.2125	87.60222364083029	4	9	0.99	375.71157495123373	0.44622414622414625	44.87590533478353	133	10.233497549903797	5.686868686868687	93.8113580276025	4	
5	0.96	287.2531418333801	0.39440724206349204	43.94241373164553	133	30.183939858088433	6.822916666666667	72.47311944519188	6	33	1	318.4713375812708	0.44363095238095246	45.74269692205469	133	10.099530552455354	6.66	106.34516129032315		
6	1	282.56569652293615	0.45107142857142846	58.03183249603074	133	9.101654575892859	8.01	142.4481858212178		27	0.96	239.22252678943818	0.4077587632275131	48.63184492012971	133	10.928917698128513	7.791666666666667	107.02584045033217	7.25	
8	0.99	184.42622950762077	0.5259765487038215	60.44789288393594	133	10.445752863946515	10.656565656565656	98.53908934633911	9	7	0.99	221.97309416495725	0.4225589225589223	49.884553528430885	133	10.653163759597236	9.919191919191919	118.44648320272357	9	
12	1	159.46420028754474	0.3200512820512818	58.45288369631377	133	9.029135774381869	13.84	166.84473401011033		81	1	152.41579027412013	0.33600228937728915	47.02635601367043	133	11.335623223944024	13.91	171.881302769623		
16	1	110.19283746542338	0.39591291955378627	47.76198845416261	133	10.665177966745903	18.32	193.60312212614477		6	0.99	111.71293161894322	0.3337642482121327	43.70885075998996	133	9.964045271634035	18.07070707070707	180.27113807029392	17	
32	1	60.79027355661819	0.20476979882862234	59.226682684054246	133	27.35450680004482	33.67	539.9565783513059		5	0.84	51.57487566767505	0.20978755138419003	65.88260004552062	133	9.448322684897825	35.13095238095238	212.91117420554662	34.1875	
