index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
2	1	476.68986556281305	0.25939999999999996
3	0.994	443.7103830014808	0.2860160965794769
4	0.998	418.69441181388277	0.31272545090180376
5	0.994	453.7155377068254	0.38008048289738466
6	0.99	439.9217916777648	0.4165656565656571
7	0.984	444.1234879833763	0.4254065040650411
8	0.976	416.70224574942154	0.4404713114754104
9	0.98	425.56887267582914	0.47040816326530693
10	0.97	401.5565490962787	0.4878350515463923
11	0.952	411.5866839663566	0.4928571428571434
12	0.948	403.3699259661135	0.504430379746836
13	0.938	406.4124783431096	0.5200426439232408
14	0.92	389.86354775254546	0.5248913043478258
15	0.876	385.903083697274	0.5340182648401822
16	0.868	368.3585129875267	0.5328341013824879
17	0.826	346.1280590068952	0.5621065375302657
18	0.834	349.65621331268744	0.5531175059952026
19	0.828	355.45634069045104	0.5632850241545881
20	0.772	316.96501888311093	0.5739637305699467
21	0.766	318.4501538143562	0.5899477806788491
22	0.742	321.6577076522422	0.6088948787061975
23	0.674	294.68345575109623	0.6032640949554878
24	0.672	284.6733881199119	0.6083333333333311
25	0.608	273.25842696915157	0.6146381578947345
26	0.642	279.78732677149645	0.6194704049844215
27	0.62	269.2140686112827	0.6366129032258044
28	0.492	241.05830475631214	0.6430894308943067
29	0.472	227.49180643894	0.6436440677966083
30	0.47	212.84303957474816	0.6304255319148915
31	0.462	213.39491917065664	0.6497835497835476
32	0.412	193.90060241050543	0.659546925566341
33	0.422	196.95696817292958	0.6606635071090031
34	0.372	187.1980676352892	0.6642473118279549
35	0.396	190.43954987127222	0.6772727272727254
36	0.352	173.33070710983856	0.6775568181818162
37	0.322	152.69347495877292	0.6829192546583835
38	0.27	132.6650943368786	0.6714814814814802
39	0.238	125.46125461273091	0.7042016806722677
40	0.264	140.1571458907711	0.7003787878787866
41	0.248	130.37535485149758	0.7032258064516119
42	0.24	121.4329083190755	0.6895833333333325
43	0.134	74.27937915727455	0.7126865671641791
44	0.186	98.52738637432411	0.7069892473118276
45	0.14	79.05138339885613	0.7228571428571426
46	0.124	71.61834353744968	0.7354838709677418
47	0.126	68.44106463822929	0.7079365079365081
48	0.144	72.65388496615013	0.7215277777777775
49	0.132	70.52789057441433	0.7393939393939392
50	0.11	63.02280279540283	0.7527272727272728
51	0.092	51.58685656736506	0.7347826086956526
52	0.044	26.017029328270414	0.7363636363636364
53	0.06	35.73981415308933	0.7466666666666669
54	0.088	46.62004661964179	0.7477272727272731
55	0.058	33.26451020901045	0.7620689655172417
56	0.04	21.980437410734844	0.7800000000000002
57	0.02	11.649580615133878	0.7549999999999999
58	0.018	10.864316755210272	0.7555555555555555
59	0.026	13.831258644572285	0.8
60	0.026	14.466948586917564	0.7961538461538462
61	0.03	16.94340901399965	0.7866666666666668
62	0.016	9.015100292920746	0.7999999999999999
63	0.018	10.494402984859802	0.7999999999999999
64	0.012	6.560244915679259	0.7999999999999999
65	0.002	1.2368583796945074	0.8
66	0.002	1.0778184953596464	0.8
67	0.036	19.569471624195803	0.7444444444444447
68	0.04	22.444170126607826	0.7900000000000003
69	0.002	1.0856584518429795	0.8
70	0.01	5.514503143136797	0.8
71	0.012	7.099751508647513	0.7999999999999999
72	0.012	6.257822277892594	0.7999999999999999
73	0	0	
74	0.014	7.920343969129494	0.7999999999999999
75	0.03	15.687094749804773	0.7566666666666667
76	0.014	7.422330611780225	0.7999999999999999
77	0.01	5.390254419866021	0.8
81	0	0	
97	0	0	
129	0	0	
256	0	0	
