index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
2369	0.3004	513.3814129939427	0.4374445184198863
2370	0.287	495.1007452378138	0.38352497096399407
2371	0.522	816.5436115628239	0.40775542784163993
2372	0.5015	799.9553364910456	0.4188567630442059
2373	0.4449	728.8424363551072	0.411459504008395
2374	0.359	598.203722526433	0.44208913649025344
2375	0.1174	232.2498961409178	0.3806643952299823
2377	0.1372	252.96850800163716	0.420396015549076
2379	0.1214	234.23180072867325	0.41717266807876263
2382	0.0461	93.29528666589114	0.3979392624728856
2401	0.0837	164.12086511496778	0.38602150537634344
2403	0.1593	295.9261392131137	0.38512241054613844
2404	0.2185	382.6150909679018	0.3998245614035074
2405	0.3288	544.912164400441	0.4375760340632626
2406	0.4656	769.4468774257821	0.39544315578465433
2407	0.2987	510.4063429143081	0.41964066510434067
2408	0.0686	136.8960906786017	0.41253644314868837
2409	0.1748	324.069782532391	0.42736460717009733
2410	0.1547	285.9360848757461	0.4260288730876953
2411	0.3291	559.6843591114138	0.4247138660994647
2421	0.3166	544.0329925266982	0.40662771109707396
2500	0.3376	555.8757183090012	0.4009429304897326
3750	0.383	473.82224861478136	0.31503916449086156
4062	0.3256	399.02449784929985	0.2945945945945941
4101	0.3829	340.84030621338	0.47498911813353967
4103	0.3943	371.4729850677347	0.49398089441203646
4104	0.1668	158.22874868377488	0.4359612310151871
4105	0.2341	210.0851648107634	0.4331339883240775
4110	0.289	255.5757972370884	0.4401672433679341
4120	0.2947	255.5475585536997	0.44540210383440676
4130	0.2991	255.3551152130214	0.4404156915190025
4132	0.3348	279.9260888110197	0.440437076861807
4135	0.4038	336.1218629042067	0.45504375103186484
4137	0.3772	304.547216121734	0.44211293743372315
4138	0.4595	371.3581444210639	0.45017047515415426
4139	0.2592	210.2667272373336	0.4197723765432091
4140	0.6011	489.37555971684856	0.4695530416458735
4218	0.6119	363.25966030886593	0.36550089883968506
4220	0.5606	328.3604819392	0.3584849565941282
4221	0.6733	404.5228696914809	0.3657681073320508
4222	0.6971	419.01590469211493	0.3684382919715062
4227	0.7417	446.35280948930597	0.3682508651296612
4237	0.7162	407.4434374981326	0.33936516801638633
4247	0.7662	419.7735129594545	0.33350952753850527
4252	0.7637	410.81668441798087	0.32517786216228295
4254	0.8168	454.36087423282225	0.3323865491348376
4255	0.8555	486.90396239121606	0.3451353984024975
4257	0.9017	523.869558397659	0.34916638941259526
4296	0.9774	547.369835856715	0.3109303594570656
4375	0.9988	552.4733526198803	0.29029335202242834
5000	0.9986	553.1122951996038	0.28716202683757386
10000	0.9932	509.21321124285055	0.28988119210632435
