index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)
0	0.97	433.81037567104124	0.2843298969072165	73.3399482039681	0	
1	0.996	495.02982107385225	0.29096385542168685	70.99145197492932	1	
2	0.948	391.6060806345217	0.2853375527426161	72.18707696638792	2	
3	1	488.9019262738135	0.2759000000000001	83.67592032855858	3	
4	0.99	492.83154121873366	0.2750505050505051	83.8738452820838	4	
5	0.966	406.3262387483153	0.284575569358178	70.15617553945697	5	
6	0.996	479.7225700796451	0.2810240963855422	78.22195898030789	6	
7	0.954	457.64175381365123	0.27421383647798747	82.50506776019621	7	
8	0.86	322.43551289743317	0.27934108527131785	74.88074825429815	8	
9	0.95	401.01308569037155	0.29294736842105285	68.5442376054621	9	
10	0.972	417.4540456968829	0.28045267489711945	76.28436615574907	10	
11	0.956	433.3635539437639	0.2764644351464436	80.51366201123429	11	
12	0.946	418.8435313912746	0.27875264270613115	77.34182672935927	12	
13	0.99	473.50296537211887	0.28676767676767684	70.12663284742516	13	
14	0.936	395.7382039573509	0.2814102564102565	73.89052018363418	14	
15	0.982	475.82130051363845	0.28217922606924656	76.56105055098192	15	
16	0.938	394.98062994754986	0.27832267235252317	77.01164268855898	16	
17	0.948	442.16417910442965	0.2880801687763714	69.99163444668042	17	
18	0.998	494.01049401028837	0.2771543086172345	80.8471179657823	18	
19	0.858	311.4111498258287	0.27214452214452217	80.57660712022404	19	
20	0.986	468.8540180696128	0.27887085868830297	76.47868430234345	20	
21	0.912	390.1437371661996	0.28771929824561415	66.70843772837472	21	
22	0.964	419.20333971120266	0.287136929460581	70.66238554485501	22	
23	0.992	483.8552336358191	0.28316532258064525	74.95520029115077	23	
24	0.912	419.92817018139607	0.29868421052631583	63.75209190342491	24	
25	0.792	335.1104341205712	0.28270202020202023	67.78293639582823	25	
26	1	510.152025303189	0.28796666666666676	72.6122255635668	26	
27	0.94	415.23102747581015	0.28251773049645396	73.95514522529082	27	
28	0.962	389.94730441852425	0.2773042273042273	79.46311499483122	28	
29	0.92	384.13361169094827	0.2864130434782609	70.49638024196717	29	
30	0.968	450.44206607736726	0.2774793388429752	80.38823725914241	30	
31	0.99	489.9049881234583	0.2824915824915825	76.19507154229977	31	
32	0.998	493.5219068342803	0.2803273213092852	75.15438435406665	32	
33	0.976	428.3331870444074	0.286646174863388	70.94642334136637	33	
34	0.986	474.4490424405842	0.27951318458417856	79.02845684896968	34	
35	0.92	379.88273185233396	0.2781159420289855	75.67204963621414	35	
36	1	494.4131316127102	0.2829000000000001	75.677550026424	36	
37	0.924	406.8692206075471	0.2813492063492064	74.78503042243086	37	
38	0.836	342.17419777345106	0.2827751196172249	69.77496115059989	38	
39	0.992	463.72475691855686	0.27916666666666673	78.68642973988237	39	
40	0.878	346.6245558624383	0.27710706150341685	75.82214040348605	40	
41	0.994	474.82564249551933	0.28158953722334007	75.15090952307845	41	
42	0.99	454.08678102911847	0.28037037037037044	78.75493399363633	42	
43	0.92	404.6090245402662	0.2763043478260869	77.9554744122293	43	
44	0.95	401.48761727657995	0.28073684210526323	76.93996233666743	44	
45	0.982	460.859770978253	0.27739307535641555	80.17584454102176	45	
46	0.904	392.87266405919416	0.27739675516224194	77.84711280417312	46	
47	0.998	490.321312763916	0.2798597194388778	78.03119484229694	47	
48	0.976	434.66642914406833	0.28555327868852465	69.87677383216227	48	
49	0.958	413.0734736115985	0.279749478079332	77.35091756407851	49	
50	0.936	376.7812575475761	0.2962606837606838	65.50537270844951	50	
51	0.79	323.87668087912203	0.2755274261603376	69.71819277338325	51	
52	0.898	356.74559033842837	0.27479584261321455	79.65922734687852	52	
53	0.954	400.60468631924226	0.2793151642208247	79.00475908864682	53	
54	0.952	393.1285100760433	0.2793767507002801	76.60186257378814	54	
55	0.95	430.3315818083485	0.2745263157894737	81.69997282449852	55	
56	0.974	427.83097601667475	0.28097193702943196	76.45722833871599	56	
57	0.932	394.4138806599835	0.28143776824034344	75.09611354993386	57	
58	0.866	307.0268737147136	0.27540415704388	78.10131984716276	58	
59	0.994	460.39833256144544	0.2794768611670021	79.17084087924496	59	
