index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)	second_ratio_SNR (division)	probe_index (division)	mean_time (division)	order_index (division)
1	0	0			223		0
2	0.8	347.22222222166084	0.3791666666666668	20.927220895496607	223	29.871354166666663	9
3	1	273.52297591562467	0.29000000000000004	24.192710604163647	223	32.2536171875	10
4	0.98	229.5081967234389	0.2775510204081632	18.866474188807782	223	34.40709768282313	8
5	0.96	174.60894870609246	0.22222222222222218	19.18766965180159	223	36.62415907118055	12
6	1	192.60400615971787	0.20785714285714296	18.912238392554226	223	39.33436383928571	11
8	1	136.76148796325586	0.18244444444444435	20.59268635208625	223	33.81999739583335	7
12	1	75.4375377181408	0.187967032967033	19.506195887268323	223	32.46113796359889	70
16	1	70.82152974448194	0.1629102167182662	13.737921443644117	223	33.33948745753784	6
20	1	62.91682395884085	0.15829314888010548	18.457048335893266	223	32.11873366146422	71
24	1	39.04114937134665	0.11160239599370039	23.414359444182754	223	34.397498076923085	39
28	1	40.90314136081169	0.11523205678266864	14.628692787164098	223	31.638562106043768	72
32	1	39.9329127067204	0.10520642861250065	16.3992392895255	223	32.09173887310607	5
39	1	27.756189630339215	0.09808537996021953	17.978895164212958	223	32.023604788218634	58
43	1	25.44917799159219	0.10249088895600524	15.837674527407783	223	31.295803701073233	73
47	1	20.57782533543492	0.0956250060307811	16.316389247811657	223	34.879258919270825	27
51	1	20.22817380047463	0.0884230740772361	20.14033837325546	223	33.213868774945574	74
55	1	17.70663644735112	0.08620705876564863	13.164444323598516	223	33.90051806763001	40
59	1	18.452227183775424	0.12212307480871326	12.387278600782237	223	32.18553555217698	75
63	1	21.178364183153416	0.07700113924062894	20.27974869990855	223	31.44799861767465	4
70	1	14.916912795688837	0.0749727485264113	22.191422735785963	223	33.84341006112063	59
74	1	14.816570852861343	0.08236317283397313	11.665445964665139	223	31.17742108057787	76
78	1	15.146007512411929	0.06788380733190859	18.908496449417864	223	33.8275264660799	28
82	1	12.834004979631437	0.07333097396422011	15.826783205494001	223	31.862713665850382	77
86	1	9.674548198598995	0.06223066046494097	21.79793584579482	223	35.84800089267324	41
90	1	11.872536448686503	0.08953546957845929	11.071699795639812	223	30.997357682229453	78
94	1	11.257458065966638	0.054980770551568206	36.37843112751838	223	34.145337984854706	20
101	1	9.125919436380075	0.05985501103473441	24.46018968464069	223	36.81082329442699	60
105	1	10.531415211560224	0.04991549083443927	44.061920681467036	223	32.80783067773541	79
109	1	10.005402917570038	0.05154518538399185	33.02500436866435	223	34.34189879581285	29
117	1	7.035911291240676	0.057632212194670275	19.36200699244536	223	36.21095465278274	42
125	1	10.009008107287471	0.06007721195354122	21.725498872160976	223	33.31134820549775	3
132	1	8.115960848594806	0.06031634299584817	18.677664869915592	223	34.22340816915189	61
140	1	8.8066930867378	0.05364737397717701	14.139353620230349	223	33.074204464577605	30
148	1	6.557893080110701	0.0513633394243133	24.613756868338076	223	33.980963660514526	43
156	1	7.804086219542398	0.058207450894857446	14.531184925685851	223	31.971050353871043	21
163	1	5.926839098164426	0.045332619731557944	21.22487483052311	223	33.49577461630752	62
171	1	7.495015814492027	0.04589349258799716	16.970400086325817	223	33.701887053283606	31
179	1	5.781416215712529	0.048424368962153526	17.104522341190645	223	33.2021794633318	44
187	1	6.983142693543954	0.05932559339302235	15.322482616445706	223	31.839847155774514	14
194	1	5.184355688280368	0.038893745196101746	39.763567923931966	223	33.6407531111002	63
202	1	6.129629402608785	0.05418035463254424	8.576534323142432	223	31.541297910327934	32
210	1	5.3244734095722155	0.05340829217782008	20.85291226959316	223	32.56626843161125	45
218	1	5.6437230512216745	0.04445043420529379	22.74320732019364	223	32.40811455610494	17
226	1	4.1174629840074894	0.04661037528096667	21.47345375212233	223	35.09013643809092	46
234	1	4.8335798459068675	0.04847213744081708	17.029558488350567	223	33.96690704308285	24
242	1	4.05074776803866	0.05015702436072593	17.188742850924214	223	33.015633435476126	47
250	1	5.50763909542914	0.04683391074254909	23.099988146611732	223	32.377833769090316	2
257	1	3.827370290419821	0.03655938443873212	36.74277047109889	223	35.139756678495594	64
265	1	4.377095534487145	0.054263623515702804	14.446984916737657	223	32.8631151064987	33
273	1	3.7680962823962276	0.05968219488209742	11.293390314243629	223	33.979298492451896	48
281	1	4.346465454293941	0.04783754974519729	15.849709684239766	223	31.97316674478579	22
288	1	3.481094177519018	0.03865712549523051	26.313964349571034	223	33.25019455278307	65
296	1	3.7459075959532786	0.045193489356735395	21.00881194931869	223	31.94838046373899	34
304	1	3.108892053048487	0.051747891103388705	13.642855439382599	223	33.911979443874905	49
312	1	4.215247392871614	0.05166478444306568	19.207274643275042	223	31.70165975904027	15
319	1	3.117848435152468	0.03847202482146659	13.034451429500749	223	33.608990952346176	66
327	1	3.3127720614059313	0.03931374271341042	22.974339373134338	223	32.26160227560999	35
335	1	2.771787636718493	0.04412458660156141	13.231239304505213	223	33.38944470892724	50
343	1	3.633430467040267	0.040595852455518874	22.53673387387382	223	31.812923113229907	18
351	1	3.0438991130066033	0.040773276887091675	20.30212624571221	223	31.282046711073605	51
359	1	3.3883603046817274	0.04341898795574237	21.733113150378497	223	32.76213035320964	25
367	1	3.0178475504124056	0.04712305026783091	14.918374765939726	223	30.834326504414843	52
375	1	3.524080038905994	0.04452166198422662	21.39200933262466	223	32.162642098413954	13
382	1	2.4394527819515206	0.03724593429911483	16.918540956246297	223	35.12292661608771	67
390	1	2.8579104102228934	0.04005972245984874	20.59933636739977	223	32.301409788949556	36
398	1	2.498638242156974	0.044119560211589984	14.627658228261192	223	32.16331286653794	53
406	1	2.9853063222823604	0.04151276515210618	14.917007782851321	223	32.46340233302321	23
413	1	1.9349545672666892	0.03829179506772349	16.382310273333488	223	36.74537798385571	68
421	1	2.523251765013786	0.03873419531988205	21.149548943677086	223	32.86864381659439	37
429	1	2.203575080209475	0.03795348758097042	18.603292086322845	223	33.80724837957966	54
437	1	2.8490677850209907	0.045314524292834175	21.515684560900493	223	33.199090922694715	16
444	1	1.8039991052167499	0.03449035597790899	26.56892614231051	223	38.69212968168669	69
452	1	2.3457438823002548	0.034257298528439784	29.391384669254194	223	31.73096423151214	38
460	1	2.053986994154076	0.04240712657209531	15.417069204253398	223	33.35891796680588	55
468	1	2.5887420784488464	0.03779076164927987	19.066340559196338	223	31.90447608225968	19
476	1	1.9878818721071334	0.04759053069620569	14.112825854080079	223	33.15609202204382	56
484	1	2.6075075356977564	0.046837262959562774	18.504321227367193	223	31.80934996740976	26
492	1	1.7735968188763764	0.038748826364217594	12.145520016864898	223	34.4793358467174	57
500	1	2.7899606057574933	0.044057376828410794	18.521198356415404	223	30.537943763556058	1
