index	success_ratio (division)	success_rate (division)	mean_second_ratio (division)
1	0	0	
2	0.002	1.1191941801878205	0.3333333333333333
3	0.01	4.7317119333893025	0.35
5	0.014	4.786979415991026	0.3074829931972789
7	0.008	2.2100668545221076	0.3444444444444444
8	0.014	3.6660731119714645	0.3095238095238095
9	0.03	6.846813949241322	0.48202797202797204
10	0.012	2.557544757035723	0.3573232323232323
11	0.014	2.8633370147666244	0.3415750915750916
13	0.018	3.154131912805814	0.3158068783068783
14	0.01	1.6291951775825368	0.28302521008403364
15	0.026	3.7913033334276562	0.23605365223012284
16	0.01	1.3955175974764191	0.3162710698314414
17	0.008	1.1128112393937521	0.3951797385620915
25	0.006	0.5974548423714573	0.34890109890109894
33	0.016	1.1889546116573133	0.24255737382672368
49	0.012	0.6074534538790901	0.28698113207547166
65	0.004	0.1608855138683432	0.2269433465085639
129	0.004	0.07712211129490862	0.2811704834605598
257	0.006	0.047222082304942785	0.14238027730019406
